measurement_T[K]	Mx[Am2]	My[Am2]	Mz[Am2]	moment[Am2]
58.83	-3.78875E-09	8.65774E-09	-2.87608E-09	9.87841E-09
59.96	-3.26635E-09	8.36235E-09	-2.8507E-09	9.41936E-09
61.17	-3.29051E-09	8.22444E-09	-2.888E-09	9.31716E-09
62.26	-3.18945E-09	8.27288E-09	-2.84272E-09	9.31097E-09
63.44	-3.2988E-09	8.146E-09	-2.80864E-09	9.22648E-09
64.55	-3.14863E-09	8.20604E-09	-2.84292E-09	9.2377E-09
65.71	-3.7282E-09	7.83534E-09	-2.88184E-09	9.14314E-09
66.9	-3.31877E-09	8.01485E-09	-2.8003E-09	9.11558E-09
68.02	-3.0634E-09	8.14235E-09	-2.78008E-09	9.13297E-09
69.22	-3.4288E-09	7.9695E-09	-2.8231E-09	9.12357E-09
70.29	-3.49285E-09	7.95545E-09	-2.85646E-09	9.14596E-09
71.47	-3.18545E-09	7.86474E-09	-2.90766E-09	8.96971E-09
72.64	-3.15675E-09	7.89845E-09	-2.82536E-09	8.96288E-09
73.75	-3.12065E-09	7.83935E-09	-2.87374E-09	8.9136E-09
74.87	-2.79245E-09	7.84991E-09	-2.8428E-09	8.80343E-09
75.97	-3.2699E-09	7.86884E-09	-2.8706E-09	8.99173E-09
77.11	-2.73565E-09	7.64842E-09	-2.888E-09	8.62106E-09
78.21	-2.94175E-09	7.82444E-09	-2.89082E-09	8.84492E-09
79.45	-3.51319E-09	7.83538E-09	-2.9183E-09	9.0693E-09
80.54	-3.3233E-09	7.9099E-09	-2.8536E-09	9.04179E-09
81.88	-2.80788E-09	7.81326E-09	-2.85054E-09	8.7782E-09
83.01	-3.24607E-09	7.6935E-09	-2.94992E-09	8.85601E-09
84.14	-3.23796E-09	7.8986E-09	-2.89614E-09	9.01443E-09
85.29	-3.35115E-09	7.85386E-09	-2.86254E-09	9.00597E-09
86.46	-3.28627E-09	7.59975E-09	-2.90754E-09	8.77551E-09
87.65	-3.26276E-09	7.78704E-09	-2.93292E-09	8.93788E-09
88.8	-3.4165E-09	7.67062E-09	-2.96374E-09	8.90475E-09
89.96	-3.25375E-09	7.76074E-09	-2.88446E-09	8.89585E-09
91.14	-3.36722E-09	7.80155E-09	-2.9411E-09	8.9918E-09
92.33	-3.1533E-09	7.91768E-09	-2.97236E-09	9.02596E-09
93.45	-2.99923E-09	7.62219E-09	-2.92692E-09	8.69827E-09
94.62	-3.25405E-09	7.73424E-09	-2.91628E-09	8.88324E-09
95.78	-2.8046E-09	7.7341E-09	-2.95008E-09	8.73986E-09
97.01	-3.09994E-09	7.98132E-09	-2.93848E-09	9.05239E-09
98.23	-3.10415E-09	7.7302E-09	-2.9071E-09	8.82287E-09
99.38	-2.906E-09	7.60315E-09	-2.89344E-09	8.63856E-09
100.48	-3.31515E-09	7.74561E-09	-2.95556E-09	8.92861E-09
101.61	-2.94985E-09	7.79822E-09	-3.01192E-09	8.86484E-09
102.78	-3.6915E-09	7.84982E-09	-2.98356E-09	9.17325E-09
103.98	-3.1326E-09	7.79058E-09	-2.94452E-09	8.89812E-09
105.09	-3.45695E-09	7.77192E-09	-2.95528E-09	9.00483E-09
106.25	-3.60638E-09	7.8955E-09	-2.96974E-09	9.17411E-09
107.41	-3.36355E-09	7.86172E-09	-2.95504E-09	9.04723E-09
108.54	-3.56216E-09	7.98832E-09	-2.93272E-09	9.22513E-09
109.7	-3.60305E-09	7.92152E-09	-2.96338E-09	9.19315E-09
110.85	-3.7326E-09	7.83908E-09	-2.95564E-09	9.17166E-09
112.02	-3.262E-09	8.13815E-09	-2.96092E-09	9.25404E-09
113.15	-3.1249E-09	7.90974E-09	-3.0002E-09	9.01832E-09
114.31	-3.591E-09	7.96578E-09	-2.94924E-09	9.22209E-09
115.43	-3.3234E-09	7.79786E-09	-0.000000003	8.99175E-09
116.6	-3.61453E-09	7.96572E-09	-2.98308E-09	9.24209E-09
117.64	-3.42805E-09	7.96581E-09	-2.967E-09	9.16563E-09
118.87	-3.0999E-09	7.95828E-09	-2.9417E-09	9.03312E-09
120.04	-3.48146E-09	8.10856E-09	-3.04858E-09	9.33612E-09
121.23	-3.25033E-09	8.03314E-09	-3.01184E-09	9.17427E-09
122.35	-3.27437E-09	7.96951E-09	-3.00926E-09	9.12635E-09
123.46	-3.22185E-09	7.891E-09	-3.05922E-09	9.05577E-09
124.6	-3.2092E-09	8.08572E-09	-3.01164E-09	9.20586E-09
125.77	-3.47717E-09	7.96652E-09	-3.05362E-09	9.21307E-09
127.01	-3.51795E-09	8.01083E-09	-3.02836E-09	9.25853E-09
128.11	-3.16945E-09	8.1123E-09	-3.01128E-09	9.21535E-09
129.26	-3.27815E-09	8.02978E-09	-2.98352E-09	9.17197E-09
130.38	-3.0398E-09	7.95856E-09	-2.989E-09	9.02847E-09
131.49	-3.7004E-09	8.183E-09	-3.01736E-09	9.47412E-09
132.67	-3.97125E-09	8.15286E-09	-3.0263E-09	9.56025E-09
133.76	-3.40859E-09	7.99938E-09	-3.07082E-09	9.22163E-09
134.86	-3.50538E-09	8.06007E-09	-3.06236E-09	9.30755E-09
135.98	-3.14427E-09	8.05234E-09	-3.05112E-09	9.16711E-09
137.08	-3.169E-09	8.25401E-09	-3.03726E-09	9.34859E-09
138.19	-3.153E-09	8.10816E-09	-3.0543E-09	9.22022E-09
139.29	-3.48935E-09	8.12694E-09	-3.09946E-09	9.37173E-09
140.43	-3.10415E-09	8.026E-09	-3.05418E-09	9.13129E-09
141.55	-3.22203E-09	8.02652E-09	-3.05374E-09	9.17234E-09
142.64	-3.3112E-09	8.08544E-09	-3.05708E-09	9.25657E-09
143.74	-3.6431E-09	8.11942E-09	-3.07364E-09	9.41512E-09
144.89	-3.08805E-09	7.9739E-09	-3.00052E-09	9.06213E-09
145.97	-3.74435E-09	8.0335E-09	-3.12213E-09	9.39707E-09
147.05	-3.68758E-09	8.01832E-09	-3.06554E-09	9.34287E-09
148.17	-3.2785E-09	7.86848E-09	-3.11328E-09	9.07491E-09
149.26	-3.7043E-09	8.23581E-09	-3.05128E-09	9.53209E-09
150.34	-3.5176E-09	8.00319E-09	-3.02872E-09	9.2519E-09
151.42	-3.4813E-09	8.07494E-09	-3.11848E-09	9.33001E-09
152.61	-3.01528E-09	8.00332E-09	-3.096E-09	9.09562E-09
153.72	-3.29105E-09	8.09687E-09	-3.05116E-09	9.25742E-09
154.82	-3.17675E-09	8.063E-09	-3.14752E-09	9.22012E-09
155.98	-3.39235E-09	8.0076E-09	-3.09318E-09	9.23025E-09
157.05	-3.37995E-09	8.1981E-09	-3.12782E-09	9.40299E-09
158.15	-3.77325E-09	8.06758E-09	-3.16356E-09	9.45153E-09
159.31	-3.39615E-09	8.12686E-09	-3.10466E-09	9.33909E-09
160.4	-3.34782E-09	8.04478E-09	-3.13818E-09	9.26146E-09
161.52	-3.5584E-09	8.08616E-09	-3.16721E-09	9.38506E-09
162.62	-3.3227E-09	8.02274E-09	-3.12464E-09	9.22866E-09
163.68	-3.12832E-09	8.2169E-09	-3.13048E-09	9.33294E-09
164.77	-3.1571E-09	8.07885E-09	-3.10212E-09	9.21185E-09
165.91	-3.55392E-09	8.13415E-09	-3.09346E-09	9.40023E-09
167.01	-3.31085E-09	8.05218E-09	-3.16428E-09	9.26348E-09
168.1	-3.33563E-09	7.94382E-09	-3.12416E-09	9.16466E-09
169.22	-3.2989E-09	8.13828E-09	-3.13064E-09	9.32283E-09
170.36	-3.63948E-09	7.89116E-09	-3.08198E-09	9.22035E-09
171.46	-3.5824E-09	8.10438E-09	-3.15848E-09	9.40694E-09
172.62	-3.3713E-09	8.10442E-09	-3.06276E-09	9.29666E-09
173.74	-3.40365E-09	8.1458E-09	-3.15824E-09	9.37621E-09
174.79	-3.44502E-09	8.0038E-09	-3.13036E-09	9.25895E-09
175.88	-3.2862E-09	7.91738E-09	-3.09922E-09	9.11533E-09
176.99	-3.2986E-09	8.22056E-09	-3.10208E-09	9.38516E-09
178.08	-3.1527E-09	7.43465E-09	-3.15864E-09	8.67125E-09
179.17	-3.21745E-09	7.97335E-09	-3.08746E-09	9.13557E-09
180.24	-3.09238E-09	7.8912E-09	-3.15284E-09	9.04291E-09
181.34	-3.0673E-09	7.81285E-09	-3.13048E-09	8.95817E-09
182.48	-3.3635E-09	7.9364E-09	-3.1327E-09	9.17133E-09
183.57	-3.1775E-09	8.11556E-09	-3.11638E-09	9.25584E-09
184.64	-3.46505E-09	7.99576E-09	-3.09882E-09	9.24886E-09
185.74	-2.96675E-09	8.1641E-09	-3.06582E-09	9.21159E-09
186.84	-3.02726E-09	7.84988E-09	-3.10716E-09	8.9688E-09
187.93	-2.93828E-09	8.0564E-09	-3.0686E-09	9.10799E-09
189.09	-3.4364E-09	7.96656E-09	-3.11364E-09	9.2179E-09
190.16	-3.06355E-09	8.14897E-09	-3.14128E-09	9.2552E-09
191.22	-3.64302E-09	7.9475E-09	-3.0937E-09	9.27391E-09
192.29	-3.02315E-09	7.91416E-09	-3.1383E-09	9.03451E-09
193.35	-3.07147E-09	7.94747E-09	-3.07928E-09	9.0597E-09
194.43	-3.46052E-09	7.88748E-09	-3.15848E-09	9.17407E-09
195.48	-3.02321E-09	8.04108E-09	-3.11046E-09	9.1364E-09
196.55	-3.46121E-09	7.93962E-09	-3.14128E-09	9.21331E-09
197.6	-3.25782E-09	8.082E-09	-3.03162E-09	9.22621E-09
198.67	-3.64692E-09	7.9436E-09	-3.06554E-09	9.26274E-09
199.75	-3.27409E-09	7.99252E-09	-3.15526E-09	9.19542E-09
200.79	-3.37145E-09	7.80501E-09	-3.14958E-09	9.06668E-09
201.84	-3.5503E-09	8.07505E-09	-3.10502E-09	9.35159E-09
202.91	-3.5302E-09	7.8764E-09	-3.0707E-09	9.16129E-09
203.99	-3.56642E-09	7.84671E-09	-3.119E-09	9.16616E-09
205.06	-3.41621E-09	7.85022E-09	-3.0962E-09	9.104E-09
206.14	-3.60645E-09	7.91336E-09	-3.09362E-09	9.23029E-09
207.2	-3.4043E-09	8.01838E-09	-3.0819E-09	9.24023E-09
208.28	-2.86505E-09	8.17922E-09	-3.04E-09	9.18421E-09
209.34	-3.0682E-09	8.03696E-09	-3.05362E-09	9.12859E-09
210.42	-2.8775E-09	7.9591E-09	-3.06554E-09	9.00138E-09
211.48	-3.2582E-09	7.92548E-09	-3.05124E-09	9.09611E-09
212.55	-3.45647E-09	7.8352E-09	-3.11634E-09	9.11313E-09
213.62	-3.55025E-09	8.1162E-09	-3.0651E-09	9.374E-09
214.66	-2.74765E-09	8.2206E-09	-3.02272E-09	9.17958E-09
215.7	-3.4649E-09	7.89136E-09	-3.09374E-09	9.15698E-09
216.75	-3.25375E-09	7.97758E-09	-3.04544E-09	9.13802E-09
217.82	-3.1445E-09	7.9508E-09	-3.0597E-09	9.08102E-09
218.93	-3.65505E-09	8.02959E-09	-3.07964E-09	9.3444E-09
220.02	-3.75647E-09	8.01492E-09	-3.04044E-09	9.35918E-09
221.15	-2.90928E-09	7.88795E-09	-2.99444E-09	8.9247E-09
222.26	-3.60635E-09	7.86534E-09	-3.05692E-09	9.17682E-09
223.34	-3.07947E-09	8.11565E-09	-2.98106E-09	9.17789E-09
224.47	-3.4482E-09	7.91046E-09	-3.00346E-09	9.13708E-09
225.58	-2.99508E-09	7.86103E-09	-3.0203E-09	8.93804E-09
226.71	-3.4204E-09	7.92855E-09	-3.01716E-09	9.14682E-09
227.81	-2.98648E-09	7.9177E-09	-3.0259E-09	8.98694E-09
228.87	-3.08021E-09	7.93266E-09	-3.03984E-09	9.03634E-09
229.92	-3.48493E-09	7.89876E-09	-3.04E-09	9.15296E-09
230.99	-2.90612E-09	8.01904E-09	-3.00072E-09	9.04184E-09
232.03	-3.35162E-09	7.8127E-09	-3.0311E-09	9.02548E-09
233.07	-3.42485E-09	7.82815E-09	-3.07066E-09	9.07956E-09
234.12	-3.56667E-09	7.73036E-09	-2.96354E-09	9.01456E-09
235.16	-3.46076E-09	7.91374E-09	-0.000000003	9.14353E-09
236.22	-3.05185E-09	7.80948E-09	-3.01498E-09	8.91021E-09
237.28	-3.45304E-09	7.96986E-09	-3.0141E-09	9.19385E-09
238.33	-3.684E-09	7.77931E-09	-3.01732E-09	9.12106E-09
239.37	-3.40362E-09	7.90218E-09	-3.04858E-09	9.12814E-09
240.42	-3.34755E-09	7.79464E-09	-3.07674E-09	9.02379E-09
241.46	-3.21775E-09	7.85778E-09	-2.98102E-09	8.99917E-09
242.51	-3.0024E-09	8.04514E-09	-3.01736E-09	9.10182E-09
243.56	-3.76075E-09	7.83554E-09	-2.96636E-09	9.18358E-09
244.41	-3.26183E-09	7.9288E-09	-2.9921E-09	9.08064E-09
245.44	-3.11275E-09	7.85042E-09	-2.96898E-09	8.95171E-09
246.52	-3.4364E-09	7.8169E-09	-3.02546E-09	9.05904E-09
247.58	-3.14045E-09	7.7789E-09	-3.03384E-09	8.92064E-09
248.61	-3.29085E-09	7.64042E-09	-2.98336E-09	8.83777E-09
249.66	-3.33135E-09	7.57372E-09	-3.04326E-09	8.81593E-09
250.63	-2.28135E-09	7.72282E-09	-3.04246E-09	8.60831E-09
251.65	-3.03922E-09	7.82371E-09	-2.99754E-09	8.91249E-09
252.69	-3.14074E-09	7.86564E-09	-2.9691E-09	8.97486E-09
253.71	-2.748E-09	7.74536E-09	-3.02618E-09	8.75785E-09
254.72	-2.91337E-09	7.84255E-09	-3.03412E-09	8.89939E-09
255.75	-3.16085E-09	7.77523E-09	-3.04882E-09	8.92975E-09
256.8	-3.01535E-09	7.71578E-09	-3.0058E-09	8.81252E-09
257.84	-3.36385E-09	7.78326E-09	-2.9776E-09	8.9867E-09
258.78	-3.1166E-09	7.64805E-09	-3.00346E-09	8.78787E-09
259.8	-3.13275E-09	7.60318E-09	-2.96092E-09	8.74011E-09
260.83	-3.14457E-09	7.63286E-09	-3.06546E-09	8.80601E-09
261.82	-3.40855E-09	7.63304E-09	-3.0284E-09	8.89116E-09
262.84	-2.76745E-09	7.6636E-09	-3.00874E-09	8.68574E-09
263.81	-3.67585E-09	7.8354E-09	-3.01498E-09	9.1649E-09
264.81	-2.90525E-09	7.67082E-09	-2.97248E-09	8.72454E-09
265.83	-3.28227E-09	7.86183E-09	-2.93828E-09	9.01194E-09
266.84	-3.16515E-09	7.86864E-09	-2.98602E-09	8.99166E-09
267.83	-2.95875E-09	7.77586E-09	-2.95782E-09	8.82989E-09
268.87	-3.16862E-09	7.57352E-09	-3.1017E-09	8.77604E-09
269.88	-3.1409E-09	7.74973E-09	-3.02062E-09	8.89088E-09
270.85	-2.942E-09	7.61467E-09	-2.91846E-09	8.66925E-09
271.87	-3.6475E-09	7.62602E-09	-2.9859E-09	8.96527E-09
272.86	-3.3353E-09	7.57751E-09	-2.99746E-09	8.80498E-09
273.87	-3.0758E-09	7.71973E-09	-2.97192E-09	8.82537E-09
274.9	-2.983E-09	7.7043E-09	-2.99154E-09	8.78657E-09
275.89	-3.00685E-09	7.5176E-09	-2.99464E-09	8.63269E-09
276.86	-2.71517E-09	7.88424E-09	-2.97546E-09	8.85363E-09
277.85	-3.16488E-09	7.73428E-09	-2.91262E-09	8.8498E-09
278.62	-3.07211E-09	7.62602E-09	-2.97772E-09	8.74419E-09
278.63	-3.0922E-09	7.56252E-09	-3.00354E-09	8.70487E-09
278.65	-3.51775E-09	7.73392E-09	-3.03754E-09	9.02301E-09
279.66	-2.64605E-09	7.5811E-09	-2.9809E-09	8.56507E-09
