measurement_T[K]	Mx[Am2]	My[Am2]	Mz[Am2]	moment[Am2]
79.7	-2.99889E-09	4.5667E-09	-2.21918E-09	5.89685E-09
80.87	-3.39635E-09	4.44706E-09	-2.33254E-09	6.06237E-09
81.98	-3.40375E-09	4.56272E-09	-2.29274E-09	6.13682E-09
83.11	-3.02731E-09	4.50292E-09	-2.26764E-09	5.88074E-09
84.27	-3.643E-09	4.4654E-09	-2.30116E-09	6.20537E-09
85.48	-3.2013E-09	4.32372E-09	-2.33194E-09	5.86352E-09
86.64	-3.08806E-09	4.4913E-09	-2.23888E-09	5.89241E-09
87.85	-3.08815E-09	4.42466E-09	-2.31526E-09	5.87152E-09
88.99	-3.33549E-09	4.40974E-09	-2.2929E-09	5.98571E-09
90.17	-3.25005E-09	4.47722E-09	-2.33218E-09	6.00395E-09
91.36	-2.89385E-09	4.46926E-09	-2.29536E-09	5.79805E-09
92.52	-3.258E-09	4.50283E-09	-2.2931E-09	6.01235E-09
93.66	-3.03975E-09	4.45044E-09	-2.29238E-09	5.85675E-09
94.86	-3.0232E-09	4.52496E-09	-2.3321E-09	5.92062E-09
96.01	-3.42465E-09	4.47344E-09	-2.24452E-09	6.06447E-09
97.21	-2.92624E-09	4.46577E-09	-2.2759E-09	5.80394E-09
98.34	-3.1088E-09	4.4134E-09	-2.2699E-09	5.85621E-09
99.49	-2.85285E-09	4.5552E-09	-2.27534E-09	5.83659E-09
100.63	-2.94212E-09	4.40529E-09	-2.3072E-09	5.77805E-09
101.74	-3.1935E-09	4.36808E-09	-2.27848E-09	5.87112E-09
102.86	-3.18115E-09	4.50658E-09	-2.25882E-09	5.96081E-09
104.19	-3.23343E-09	4.45036E-09	-2.30966E-09	5.96618E-09
105.33	-3.01953E-09	4.40608E-09	-2.26752E-09	5.80282E-09
106.48	-3.42406E-09	4.32766E-09	-2.27856E-09	5.97031E-09
107.63	-3.62655E-09	4.45776E-09	-2.28674E-09	6.18487E-09
108.77	-3.37136E-09	4.3643E-09	-2.32626E-09	5.98537E-09
109.89	-3.07555E-09	4.43934E-09	-2.24706E-09	5.84945E-09
111.04	-3.35575E-09	4.48808E-09	-2.35792E-09	6.07978E-09
112.22	-3.3235E-09	4.40577E-09	-2.369E-09	6.00572E-09
113.33	-3.23371E-09	4.55536E-09	-2.2699E-09	6.02998E-09
114.46	-2.5246E-09	4.3873E-09	-2.32972E-09	5.57222E-09
115.61	-3.0836E-09	4.58126E-09	-2.2929E-09	5.97946E-09
116.75	-3.10875E-09	4.5067E-09	-2.33782E-09	5.95315E-09
118.15	-3.18142E-09	4.5256E-09	-2.3402E-09	6.00658E-09
119.32	-2.52905E-09	4.46222E-09	-2.30362E-09	5.62265E-09
120.45	-3.05558E-09	4.51788E-09	-2.3439E-09	5.93647E-09
121.58	-3.23815E-09	4.49548E-09	-2.32634E-09	6.00889E-09
122.85	-3.331E-09	4.57395E-09	-2.34036E-09	6.12322E-09
123.93	-3.01865E-09	4.48825E-09	-2.34636E-09	5.89593E-09
125.05	-2.94222E-09	4.5813E-09	-2.33818E-09	5.92554E-09
126.24	-2.9299E-09	4.39808E-09	-2.37174E-09	5.79246E-09
127.34	-2.893E-09	4.56658E-09	-2.40518E-09	5.91676E-09
128.42	-2.71475E-09	4.72374E-09	-2.32936E-09	5.92533E-09
129.52	-2.96259E-09	4.49222E-09	-2.4057E-09	5.89443E-09
130.64	-3.12415E-09	4.533E-09	-2.35482E-09	5.98779E-09
131.76	-2.71153E-09	4.5366E-09	-2.39954E-09	5.80439E-09
132.91	-2.65405E-09	4.638E-09	-2.3128E-09	5.82272E-09
133.97	-2.94574E-09	4.65267E-09	-2.34592E-09	5.98565E-09
135.07	-2.90563E-09	4.55565E-09	-2.40828E-09	5.91578E-09
136.21	-3.13295E-09	4.49938E-09	-2.36034E-09	5.96917E-09
137.33	-3.757E-09	4.58544E-09	-2.39156E-09	6.39225E-09
138.45	-2.8772E-09	4.63E-09	-2.41908E-09	5.96382E-09
139.51	-3.46095E-09	4.45056E-09	-2.43608E-09	6.14167E-09
140.64	-3.02365E-09	4.54386E-09	-2.3659E-09	5.94866E-09
141.77	-2.8856E-09	4.5924E-09	-2.36018E-09	5.915E-09
142.89	-2.89337E-09	4.58149E-09	-2.39974E-09	5.92625E-09
143.95	-2.66245E-09	4.6263E-09	-2.37762E-09	5.84332E-09
145.11	-3.13711E-09	4.58556E-09	-2.391E-09	6.04861E-09
146.19	-2.97095E-09	4.62666E-09	-2.36344E-09	5.98485E-09
147.31	-3.03103E-09	4.50288E-09	-2.37738E-09	5.92579E-09
148.38	-3.05174E-09	4.66704E-09	-2.34092E-09	6.04767E-09
149.44	-3.17337E-09	4.5367E-09	-2.41436E-09	6.03996E-09
150.51	-2.56155E-09	4.64858E-09	-2.3661E-09	5.81113E-09
151.59	-2.97034E-09	4.5591E-09	-2.41138E-09	5.95173E-09
152.76	-3.00246E-09	4.7054E-09	-2.37162E-09	6.06467E-09
153.84	-3.46917E-09	4.64544E-09	-2.38262E-09	6.26835E-09
154.93	-2.85295E-09	4.6004E-09	-2.39418E-09	5.91905E-09
156.2	-3.01133E-09	4.6411E-09	-2.38028E-09	6.02276E-09
157.28	-2.80435E-09	4.62996E-09	-2.37158E-09	5.90977E-09
158.36	-3.5058E-09	4.6528E-09	-2.39374E-09	6.29835E-09
159.51	-3.32721E-09	4.65984E-09	-2.39164E-09	6.20519E-09
160.6	-3.04355E-09	4.6073E-09	-2.35462E-09	6.00289E-09
161.69	-2.82435E-09	4.63056E-09	-2.32928E-09	5.90293E-09
162.79	-3.08405E-09	4.5702E-09	-2.3319E-09	5.98631E-09
163.88	-2.9582E-09	4.54378E-09	-2.36272E-09	5.91433E-09
164.99	-2.77173E-09	4.47722E-09	-2.374E-09	5.77614E-09
166.11	-2.7155E-09	4.57378E-09	-2.39982E-09	5.83546E-09
167.19	-2.58176E-09	4.61476E-09	-2.40582E-09	5.80943E-09
168.28	-3.03095E-09	4.63E-09	-2.37762E-09	6.02301E-09
169.35	-2.95024E-09	4.59666E-09	-2.36646E-09	5.95259E-09
170.43	-3.06755E-09	4.57073E-09	-2.43918E-09	6.02088E-09
171.53	-3.0556E-09	4.65212E-09	-2.35998E-09	6.04553E-09
172.72	-3.0679E-09	4.64134E-09	-2.38826E-09	6.05457E-09
173.79	-3.1246E-09	4.58101E-09	-2.39736E-09	6.0412E-09
174.89	-2.75538E-09	4.55934E-09	-2.33516E-09	5.81659E-09
175.98	-2.8494E-09	4.61115E-09	-2.32344E-09	5.89747E-09
177.07	-3.0396E-09	4.54016E-09	-2.34092E-09	5.94408E-09
178.16	-3.27075E-09	4.55548E-09	-2.40228E-09	6.10091E-09
179.27	-3.20545E-09	4.55574E-09	-2.40844E-09	6.06879E-09
180.35	-3.03563E-09	4.55197E-09	-2.40856E-09	5.97801E-09
181.42	-3.02315E-09	4.55866E-09	-2.39378E-09	5.97085E-09
182.5	-3.33925E-09	4.56609E-09	-2.34954E-09	6.12536E-09
183.6	-3.07573E-09	4.5139E-09	-2.34946E-09	5.94604E-09
184.68	-3.01886E-09	4.55134E-09	-2.38846E-09	5.96095E-09
185.76	-2.89778E-09	4.51064E-09	-2.37472E-09	5.86364E-09
186.83	-3.22135E-09	4.43974E-09	-2.4391E-09	6.00313E-09
187.92	-3.10863E-09	4.49955E-09	-2.38044E-09	5.96456E-09
189.08	-3.1809E-09	4.50634E-09	-2.37138E-09	6.00405E-09
190.17	-3.0267E-09	4.46555E-09	-2.37146E-09	5.89287E-09
191.24	-2.86558E-09	4.55118E-09	-2.36928E-09	5.87693E-09
192.32	-3.1532E-09	4.60052E-09	-2.37964E-09	6.06384E-09
193.38	-2.8446E-09	4.56693E-09	-2.29024E-09	5.84755E-09
194.43	-2.92985E-09	4.52922E-09	-2.3999E-09	5.90401E-09
195.51	-3.1242E-09	4.50653E-09	-2.397E-09	5.98457E-09
196.58	-3.34695E-09	4.466E-09	-2.35172E-09	6.05622E-09
197.69	-3.28605E-09	4.43568E-09	-2.36074E-09	6.00387E-09
198.77	-3.4043E-09	4.4726E-09	-2.39096E-09	6.1082E-09
199.85	-3.74055E-09	4.54736E-09	-2.41972E-09	6.36594E-09
200.93	-3.05545E-09	4.58186E-09	-2.35772E-09	5.99066E-09
202.01	-3.2382E-09	4.4656E-09	-2.3974E-09	6.01457E-09
203.07	-3.43201E-09	4.55938E-09	-2.36586E-09	6.1777E-09
204.08	-2.7521E-09	4.4654E-09	-2.31288E-09	5.73265E-09
205.16	-3.3112E-09	4.47654E-09	-2.37118E-09	6.05194E-09
206.23	-2.95405E-09	4.5706E-09	-2.36864E-09	5.93525E-09
207.28	-3.3105E-09	4.421E-09	-2.34878E-09	6.00178E-09
208.35	-2.83274E-09	4.51778E-09	-2.3771E-09	5.83827E-09
209.4	-3.20563E-09	4.50288E-09	-2.34064E-09	6.00255E-09
210.48	-2.94642E-09	4.52548E-09	-2.3236E-09	5.87882E-09
211.53	-2.90602E-09	4.41734E-09	-2.3097E-09	5.76997E-09
212.61	-2.9944E-09	4.40556E-09	-2.33472E-09	5.81604E-09
213.7	-3.2095E-09	4.44348E-09	-2.3012E-09	5.94482E-09
214.76	-2.63055E-09	4.46144E-09	-2.32908E-09	5.67881E-09
215.82	-2.88905E-09	4.38738E-09	-2.39116E-09	5.77177E-09
216.9	-3.62675E-09	4.36804E-09	-2.28372E-09	6.11952E-09
217.98	-3.00705E-09	4.47643E-09	-2.31498E-09	5.86855E-09
219.05	-2.98625E-09	4.49886E-09	-2.34092E-09	5.88535E-09
220.14	-3.32258E-09	4.42844E-09	-2.35192E-09	6.01516E-09
221.24	-2.88107E-09	4.50252E-09	-2.33528E-09	5.83325E-09
222.44	-2.9421E-09	4.4136E-09	-2.36574E-09	5.80797E-09
223.52	-2.91E-09	4.42827E-09	-2.34866E-09	5.79602E-09
224.64	-3.2705E-09	4.42048E-09	-2.3431E-09	5.9772E-09
225.73	-2.97415E-09	4.33073E-09	-2.27844E-09	5.72644E-09
226.8	-3.09212E-09	4.34616E-09	-2.36049E-09	5.83285E-09
227.94	-2.7634E-09	4.3867E-09	-2.31518E-09	5.67799E-09
228.99	-2.96225E-09	4.43544E-09	-2.26772E-09	5.79574E-09
230.05	-2.7759E-09	4.42448E-09	-2.273E-09	5.69633E-09
231.12	-3.05111E-09	4.31266E-09	-2.33456E-09	5.77568E-09
232.18	-3.14505E-09	4.4093E-09	-2.21398E-09	5.85107E-09
233.24	-3.3309E-09	4.34926E-09	-2.27054E-09	5.93012E-09
234.29	-3.03557E-09	4.55532E-09	-2.29878E-09	5.93717E-09
235.34	-3.10405E-09	4.39482E-09	-2.31244E-09	5.85636E-09
236.41	-2.87315E-09	4.45418E-09	-2.25334E-09	5.75954E-09
237.49	-3.02702E-09	4.40534E-09	-2.30394E-09	5.82048E-09
238.54	-2.8364E-09	4.37592E-09	-2.27252E-09	5.68843E-09
239.57	-2.857E-09	4.38695E-09	-2.22772E-09	5.68951E-09
240.63	-3.31855E-09	4.30896E-09	-2.32618E-09	5.91532E-09
241.68	-2.98624E-09	4.49564E-09	-2.32618E-09	5.87703E-09
242.72	-3.13225E-09	4.406E-09	-2.2924E-09	5.87188E-09
243.76	-3.14925E-09	4.40524E-09	-2.27582E-09	5.87395E-09
244.85	-3.4205E-09	4.50714E-09	-2.29818E-09	6.10703E-09
245.87	-2.99052E-09	4.45418E-09	-2.25854E-09	5.82099E-09
246.89	-2.98305E-09	4.54013E-09	-2.28956E-09	5.89521E-09
247.89	-2.97825E-09	4.39085E-09	-2.29544E-09	5.78088E-09
248.9	-3.17285E-09	4.37182E-09	-2.30366E-09	5.87253E-09
249.93	-3.07625E-09	4.4434E-09	-2.26708E-09	5.86061E-09
250.97	-3.14069E-09	4.3717E-09	-2.25878E-09	5.83762E-09
251.99	-2.7232E-09	4.41734E-09	-2.24234E-09	5.65303E-09
253.03	-3.35975E-09	4.32682E-09	-2.27598E-09	5.93206E-09
254.06	-2.65042E-09	4.33072E-09	-2.32892E-09	5.58603E-09
255.06	-3.09656E-09	4.52206E-09	-2.2589E-09	5.92793E-09
256.08	-3.29047E-09	4.3384E-09	-2.23944E-09	5.88761E-09
257.08	-3.51335E-09	4.33422E-09	-2.256E-09	6.01819E-09
258.1	-3.03093E-09	4.33438E-09	-2.30072E-09	5.76773E-09
259.11	-3.4887E-09	4.37584E-09	-2.25556E-09	6.03378E-09
260.09	-2.78355E-09	4.42804E-09	-2.23106E-09	5.68624E-09
261.03	-3.1767E-09	4.38694E-09	-2.27828E-09	5.87599E-09
262.02	-3.04705E-09	4.36812E-09	-2.28654E-09	5.79597E-09
263.01	-3.18099E-09	4.39442E-09	-2.25346E-09	5.87432E-09
264.03	-3.2829E-09	4.43544E-09	-2.25302E-09	5.96042E-09
265.08	-3.50593E-09	4.29392E-09	-2.29508E-09	5.99972E-09
266.08	-3.6071E-09	4.34632E-09	-2.28456E-09	6.09269E-09
267.12	-2.87708E-09	4.4356E-09	-2.23952E-09	5.74174E-09
268.12	-2.99435E-09	4.25596E-09	-2.21926E-09	5.65725E-09
269.11	-2.69455E-09	4.31192E-09	-2.23026E-09	5.55224E-09
270.1	-3.5212E-09	4.42485E-09	-2.20854E-09	6.0709E-09
271.13	-3.04705E-09	4.3538E-09	-2.22526E-09	5.76124E-09
272.12	-2.9822E-09	4.29379E-09	-2.26684E-09	5.69813E-09
273.12	-3.48097E-09	4.37906E-09	-2.25898E-09	6.03293E-09
273.24	-3.2623E-09	4.27526E-09	-2.32332E-09	5.85818E-09
274.34	-3.44045E-09	4.36867E-09	-2.19936E-09	5.9799E-09
275.48	-3.18515E-09	4.3419E-09	-2.27574E-09	5.84605E-09
276.6	-3.10798E-09	4.23698E-09	-2.23892E-09	5.71177E-09
277.79	-3.16885E-09	4.12152E-09	-2.2141E-09	5.65073E-09
278.85	-2.94175E-09	4.2566E-09	-2.3068E-09	5.66514E-09
279.91	-2.99045E-09	4.37596E-09	-2.19408E-09	5.73636E-09
280.93	-3.03967E-09	4.3718E-09	-2.2419E-09	5.7774E-09
281.96	-3.11265E-09	4.1927E-09	-2.22478E-09	5.676E-09
282.97	-2.91745E-09	4.204E-09	-2.16826E-09	5.55756E-09
283.99	-3.1078E-09	4.21538E-09	-2.19428E-09	5.67827E-09
284.97	-2.8939E-09	4.40576E-09	-2.20282E-09	5.71295E-09
285.97	-2.9744E-09	4.07658E-09	-2.19928E-09	5.50476E-09
286.94	-3.07131E-09	4.28974E-09	-2.19944E-09	5.71598E-09
287.6	-2.6905E-09	4.26365E-09	-2.1936E-09	5.49813E-09
287.61	-3.25395E-09	4.21848E-09	-2.13144E-09	5.73819E-09
