specimen,Meas_T[K],Mx[Am2],My[Am2],Mz[Am2],Mtot [Am2],Dec,Inc,MN [Am2],ME [Am2],MV [Am2],Dec [deg],Inc [deg],Jnrm [Am2/kg],Jtrm [Am2/kg],Jarm [Am2/kg],Jirm [Am2/kg],Jnrm [A/m],Jtrm [A/m],Jarm [A/m],Jirm [A/m],AF [mT],T [C],Hdc [mT],Hdc dec [deg],Hdc inc [deg],data type,date,time,series,position[cm],Drift_ratio,Ja/Jr,run#,description,Meas_T [K]
Ikon_magnetite_<100>_02,93,-1.99E-07,1.07E-06,-1.53E-06,1.87E-06,100.6,-54.6,-1.53E-06,1.07E-06,1.99E-07,-214.928,6.10714,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:40:52 PM,2,,,0,,,93
Ikon_magnetite_<100>_02,91,-1.99E-07,1.06E-06,-1.50E-06,1.85E-06,100.6,-54.3,-1.50E-06,1.06E-06,1.99E-07,-215.263,6.16723,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:41:21 PM,2,,,0,,,91
Ikon_magnetite_<100>_02,88,-1.98E-07,1.06E-06,-1.49E-06,1.84E-06,100.6,-54.1,-1.49E-06,1.06E-06,1.98E-07,-215.403,6.16232,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:41:54 PM,2,,,0,,,88
Ikon_magnetite_<100>_02,83,-1.95E-07,1.06E-06,-1.48E-06,1.83E-06,100.4,-54,-1.48E-06,1.06E-06,1.95E-07,-215.536,6.10948,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:42:49 PM,2,,,0,,,83
Ikon_magnetite_<100>_02,78,-2.23E-07,1.03E-06,-1.50E-06,1.83E-06,102.2,-54.8,-1.50E-06,1.03E-06,2.23E-07,-214.554,6.97616,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:44:02 PM,2,,,0,,,78
Ikon_magnetite_<100>_02,73,-1.87E-07,1.05E-06,-1.48E-06,1.82E-06,100.1,-54.1,-1.48E-06,1.05E-06,1.87E-07,-215.443,5.87707,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:45:04 PM,2,,,0,,,73
Ikon_magnetite_<100>_02,68,-1.88E-07,1.05E-06,-1.49E-06,1.83E-06,100.1,-54.3,-1.49E-06,1.05E-06,1.88E-07,-215.283,5.89405,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:46:05 PM,2,,,0,,,68
Ikon_magnetite_<100>_02,63,-1.87E-07,1.05E-06,-1.49E-06,1.83E-06,100.1,-54.4,-1.49E-06,1.05E-06,1.87E-07,-215.181,5.8714,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:47:05 PM,2,,,0,,,63
Ikon_magnetite_<100>_02,58,-1.86E-07,1.05E-06,-1.50E-06,1.84E-06,100.1,-54.6,-1.50E-06,1.05E-06,1.86E-07,-215.018,5.8154,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:48:02 PM,2,,,0,,,58
Ikon_magnetite_<100>_02,53,-1.85E-07,1.05E-06,-1.51E-06,1.85E-06,100,-54.8,-1.51E-06,1.05E-06,1.85E-07,-214.798,5.75765,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:48:51 PM,2,,,0,,,53
Ikon_magnetite_<100>_02,48,-1.85E-07,1.05E-06,-1.52E-06,1.86E-06,100,-55,-1.52E-06,1.05E-06,1.85E-07,-214.542,5.71601,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:49:38 PM,2,,,0,,,48
Ikon_magnetite_<100>_02,43,-1.82E-07,1.05E-06,-1.53E-06,1.86E-06,99.9,-55.2,-1.53E-06,1.05E-06,1.82E-07,-214.399,5.60775,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:50:21 PM,2,,,0,,,43
Ikon_magnetite_<100>_02,38,-1.82E-07,1.05E-06,-1.53E-06,1.87E-06,99.8,-55.2,-1.53E-06,1.05E-06,1.82E-07,-214.394,5.59072,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:50:57 PM,2,,,0,,,38
Ikon_magnetite_<100>_02,33,-1.81E-07,1.05E-06,-1.53E-06,1.87E-06,99.8,-55.3,-1.53E-06,1.05E-06,1.81E-07,-214.323,5.56099,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:51:24 PM,2,,,0,,,33
Ikon_magnetite_<100>_02,27,-1.81E-07,1.05E-06,-1.54E-06,1.87E-06,99.8,-55.4,-1.54E-06,1.05E-06,1.81E-07,-214.193,5.56176,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:51:48 PM,2,,,0,,,27
Ikon_magnetite_<100>_02,18,-1.81E-07,1.05E-06,-1.55E-06,1.88E-06,99.8,-55.6,-1.55E-06,1.05E-06,1.81E-07,-213.993,5.51295,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:52:27 PM,2,,,0,,,18
