specimen,Meas_T[K],Mx[Am2],My[Am2],Mz[Am2],Mtot [Am2],Dec,Inc,Mx-bcorr,My-bcorr,Mz-bcorr,Mt-bcorr,Dec-bcorr,Inc-bcorr,MN [Am2],ME [Am2],MV [Am2],Dec [deg],Inc [deg],Jnrm [Am2/kg],Jtrm [Am2/kg],Jarm [Am2/kg],Jirm [Am2/kg],Jnrm [A/m],Jtrm [A/m],Jarm [A/m],Jirm [A/m],AF [mT],T [C],Hdc [mT],Hdc dec [deg],Hdc inc [deg],data type,date,time,series,position[cm],Drift_ratio,Ja/Jr,run#,description,Meas_T [K]
Ikon_magnetite_<100>_02,143,1.02E-08,5.18E-07,-6.61E-07,8.40E-07,88.9,-51.9,6.31E-08,5.57E-07,-1.31E-06,1.42E-06,83.5,-66.8,-6.61E-07,5.18E-07,-1.02E-08,-218.093,-0.697576,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:39:38 PM,2,,,0,,,143
Ikon_magnetite_<100>_02,145,9.60E-09,5.21E-07,-6.82E-07,8.58E-07,88.9,-52.6,6.30E-08,5.60E-07,-1.33E-06,1.45E-06,83.6,-67.1,-6.82E-07,5.21E-07,-9.60E-09,-217.383,-0.640483,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:40:34 PM,2,,,0,,,145
Ikon_magnetite_<100>_02,147,1.05E-08,5.29E-07,-7.05E-07,8.82E-07,88.9,-53.1,6.44E-08,5.68E-07,-1.36E-06,1.48E-06,83.5,-67.2,-7.05E-07,5.29E-07,-1.05E-08,-216.864,-0.682782,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:41:47 PM,2,,,0,,,147
Ikon_magnetite_<100>_02,149,8.93E-09,5.35E-07,-7.22E-07,8.99E-07,89,-53.5,6.33E-08,5.75E-07,-1.38E-06,1.50E-06,83.7,-67.3,-7.22E-07,5.35E-07,-8.93E-09,-216.534,-0.569536,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:42:57 PM,2,,,0,,,149
Ikon_magnetite_<100>_02,151,3.91E-09,5.37E-07,-7.35E-07,9.10E-07,89.6,-53.9,5.88E-08,5.77E-07,-1.40E-06,1.51E-06,84.2,-67.4,-7.35E-07,5.37E-07,-3.91E-09,-216.134,-0.246131,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:44:08 PM,2,,,0,,,151
Ikon_magnetite_<100>_02,153,4.70E-09,5.40E-07,-7.55E-07,9.28E-07,89.5,-54.4,6.01E-08,5.81E-07,-1.42E-06,1.53E-06,84.1,-67.6,-7.55E-07,5.40E-07,-4.70E-09,-215.61,-0.290386,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:45:17 PM,2,,,0,,,153
Ikon_magnetite_<100>_02,158,2.85E-09,5.44E-07,-7.92E-07,9.61E-07,89.7,-55.5,5.95E-08,5.85E-07,-1.46E-06,1.58E-06,84.2,-68.1,-7.92E-07,5.44E-07,-2.85E-09,-214.464,-0.169681,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:48:18 PM,2,,,0,,,158
Ikon_magnetite_<100>_02,163,1.78E-09,5.50E-07,-8.19E-07,9.87E-07,89.8,-56.1,5.97E-08,5.91E-07,-1.50E-06,1.61E-06,84.2,-68.4,-8.19E-07,5.50E-07,-1.78E-09,-213.854,-0.103082,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:51:27 PM,2,,,0,,,163
Ikon_magnetite_<100>_02,168,4.16E-09,5.54E-07,-8.41E-07,1.01E-06,89.6,-56.6,6.33E-08,5.96E-07,-1.53E-06,1.64E-06,83.9,-68.6,-8.41E-07,5.54E-07,-4.16E-09,-213.372,-0.236618,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:54:51 PM,2,,,0,,,168
Ikon_magnetite_<100>_02,173,-1.64E-11,5.58E-07,-8.50E-07,1.02E-06,90,-56.7,6.04E-08,6.00E-07,-1.55E-06,1.66E-06,84.3,-68.7,-8.50E-07,5.58E-07,1.64E-11,-213.26,0.000924141,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:58:08 PM,2,,,0,,,173
Ikon_magnetite_<100>_02,178,-5.32E-09,5.60E-07,-8.65E-07,1.03E-06,90.5,-57.1,5.63E-08,6.03E-07,-1.57E-06,1.68E-06,84.7,-68.9,-8.65E-07,5.60E-07,5.32E-09,-212.902,0.295674,,,,,,,,,,,,,,RM(Tmeas),4/23/10,2:01:40 PM,2,,,0,,,178
Ikon_magnetite_<100>_02,183,-6.90E-09,5.62E-07,-8.77E-07,1.04E-06,90.7,-57.4,5.60E-08,6.06E-07,-1.59E-06,1.70E-06,84.7,-69,-8.77E-07,5.62E-07,6.90E-09,-212.645,0.379241,,,,,,,,,,,,,,RM(Tmeas),4/23/10,2:05:35 PM,2,,,0,,,183
Ikon_magnetite_<100>_02,188,-3.93E-09,5.64E-07,-8.82E-07,1.05E-06,90.4,-57.4,6.02E-08,6.08E-07,-1.60E-06,1.71E-06,84.3,-69.1,-8.82E-07,5.64E-07,3.93E-09,-212.573,0.215096,,,,,,,,,,,,,,RM(Tmeas),4/23/10,2:09:25 PM,2,,,0,,,188
Ikon_magnetite_<100>_02,193,-8.82E-09,5.64E-07,-8.88E-07,1.05E-06,90.9,-57.6,5.65E-08,6.09E-07,-1.61E-06,1.73E-06,84.7,-69.3,-8.88E-07,5.64E-07,8.82E-09,-212.425,0.480487,,,,,,,,,,,,,,RM(Tmeas),4/23/10,2:13:18 PM,2,,,0,,,193
Ikon_magnetite_<100>_02,198,-1.10E-08,5.64E-07,-8.90E-07,1.05E-06,91.1,-57.6,5.56E-08,6.10E-07,-1.63E-06,1.74E-06,84.8,-69.4,-8.90E-07,5.64E-07,1.10E-08,-212.352,0.596653,,,,,,,,,,,,,,RM(Tmeas),4/23/10,2:17:43 PM,2,,,0,,,198
Ikon_magnetite_<100>_02,203,-1.19E-08,5.56E-07,-8.94E-07,1.05E-06,91.2,-58.1,5.59E-08,6.03E-07,-1.64E-06,1.74E-06,84.7,-69.7,-8.94E-07,5.56E-07,1.19E-08,-211.911,0.649541,,,,,,,,,,,,,,RM(Tmeas),4/23/10,2:21:53 PM,2,,,0,,,203
Ikon_magnetite_<100>_02,208.8,-8.39E-09,5.69E-07,-8.79E-07,1.05E-06,90.8,-57.1,6.09E-08,6.16E-07,-1.63E-06,1.74E-06,84.4,-69.2,-8.79E-07,5.69E-07,8.39E-09,-212.888,0.459218,,,,,,,,,,,,,,RM(Tmeas),4/23/10,2:27:14 PM,2,,,0,,,208.8
Ikon_magnetite_<100>_02,213.4,-2.50E-08,5.67E-07,-8.78E-07,1.05E-06,92.5,-57.1,4.55E-08,6.15E-07,-1.64E-06,1.75E-06,85.8,-69.4,-8.78E-07,5.67E-07,2.50E-08,-212.864,1.36919,,,,,,,,,,,,,,RM(Tmeas),4/23/10,2:31:36 PM,2,,,0,,,213.4
Ikon_magnetite_<100>_02,218,-2.58E-08,5.60E-07,-8.71E-07,1.04E-06,92.6,-57.3,4.57E-08,6.08E-07,-1.64E-06,1.75E-06,85.7,-69.6,-8.71E-07,5.60E-07,2.58E-08,-212.706,1.42942,,,,,,,,,,,,,,RM(Tmeas),4/23/10,2:36:12 PM,2,,,0,,,218
Ikon_magnetite_<100>_02,223,-3.61E-08,5.57E-07,-8.66E-07,1.03E-06,93.7,-57.2,3.67E-08,6.06E-07,-1.64E-06,1.75E-06,86.5,-69.7,-8.66E-07,5.57E-07,3.61E-08,-212.745,2.00771,,,,,,,,,,,,,,RM(Tmeas),4/23/10,2:41:12 PM,2,,,0,,,223
Ikon_magnetite_<100>_02,229,-3.28E-08,5.55E-07,-8.57E-07,1.02E-06,93.4,-57,4.16E-08,6.05E-07,-1.64E-06,1.75E-06,86.1,-69.7,-8.57E-07,5.55E-07,3.28E-08,-212.942,1.83827,,,,,,,,,,,,,,RM(Tmeas),4/23/10,2:47:31 PM,2,,,0,,,229
Ikon_magnetite_<100>_02,233,-3.36E-08,5.51E-07,-8.50E-07,1.01E-06,93.5,-57,4.17E-08,6.01E-07,-1.64E-06,1.75E-06,86,-69.8,-8.50E-07,5.51E-07,3.36E-08,-212.968,1.90245,,,,,,,,,,,,,,RM(Tmeas),4/23/10,2:52:03 PM,2,,,0,,,233
Ikon_magnetite_<100>_02,238,-3.70E-08,5.49E-07,-8.43E-07,1.01E-06,93.9,-56.8,3.95E-08,6.00E-07,-1.64E-06,1.75E-06,86.2,-69.9,-8.43E-07,5.49E-07,3.70E-08,-213.097,2.10919,,,,,,,,,,,,,,RM(Tmeas),4/23/10,2:57:28 PM,2,,,0,,,238
Ikon_magnetite_<100>_02,243,-4.06E-08,5.47E-07,-8.35E-07,9.99E-07,94.2,-56.7,3.72E-08,5.98E-07,-1.64E-06,1.75E-06,86.4,-69.9,-8.35E-07,5.47E-07,4.06E-08,-213.216,2.32721,,,,,,,,,,,,,,RM(Tmeas),4/23/10,3:03:40 PM,2,,,0,,,243
Ikon_magnetite_<100>_02,248,-4.20E-08,5.60E-07,-8.33E-07,1.00E-06,94.3,-56,3.70E-08,6.12E-07,-1.65E-06,1.76E-06,86.5,-69.6,-8.33E-07,5.60E-07,4.20E-08,-213.901,2.39821,,,,,,,,,,,,,,RM(Tmeas),4/23/10,3:09:22 PM,2,,,0,,,248
Ikon_magnetite_<100>_02,254,-4.38E-08,5.38E-07,-8.15E-07,9.78E-07,94.6,-56.5,3.68E-08,5.91E-07,-1.64E-06,1.74E-06,86.4,-70.1,-8.15E-07,5.38E-07,4.38E-08,-213.424,2.56414,,,,,,,,,,,,,,RM(Tmeas),4/23/10,3:16:51 PM,2,,,0,,,254
Ikon_magnetite_<100>_02,258,-4.64E-08,5.29E-07,-8.09E-07,9.68E-07,95,-56.7,3.52E-08,5.82E-07,-1.64E-06,1.74E-06,86.5,-70.4,-8.09E-07,5.29E-07,4.64E-08,-213.174,2.74638,,,,,,,,,,,,,,RM(Tmeas),4/23/10,3:21:24 PM,2,,,0,,,258
Ikon_magnetite_<100>_02,263,-4.41E-08,5.41E-07,-8.04E-07,9.70E-07,94.7,-56,3.87E-08,5.95E-07,-1.64E-06,1.75E-06,86.3,-70,-8.04E-07,5.41E-07,4.41E-08,-213.946,2.6063,,,,,,,,,,,,,,RM(Tmeas),4/23/10,3:27:42 PM,2,,,0,,,263
