specimen,Meas_T[K],Mx[Am2],My[Am2],Mz[Am2],Mtot [Am2],Dec,Inc,MN [Am2],ME [Am2],MV [Am2],Mtot [Am2],Dec [deg],Inc [deg],Jnrm [Am2/kg],Jtrm [Am2/kg],Jarm [Am2/kg],Jirm [Am2/kg],Jnrm [A/m],Jtrm [A/m],Jarm [A/m],Jirm [A/m],AF [mT],T [C],Hdc [mT],Hdc dec [deg],Hdc inc [deg],data type,date,time,series,position[cm],Drift_ratio,Ja/Jr,run#,description,Meas_T [K]
Ikon_magnetite_<100>_02,78,4.42E-07,1.76E-06,1.42E-06,2.30E-06,75.9,38,1.42E-06,1.76E-06,-4.42E-07,2.30E-06,51.1764,-11.0559,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:29:21 PM,1,,,0,,,78
Ikon_magnetite_<100>_02,73,4.45E-07,1.76E-06,0.000001414,2.30E-06,75.8,37.9,0.000001414,1.76E-06,-4.45E-07,2.30E-06,51.2356,-11.1558,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:30:25 PM,1,,,0,,,73
Ikon_magnetite_<100>_02,68,4.49E-07,0.00000176,1.40E-06,2.29E-06,75.7,37.6,1.40E-06,0.00000176,-4.49E-07,2.29E-06,51.5047,-11.2973,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:31:28 PM,1,,,0,,,68
Ikon_magnetite_<100>_02,59,4.54E-07,1.76E-06,1.38E-06,2.28E-06,75.5,37.1,1.38E-06,1.76E-06,-4.54E-07,2.28E-06,51.9734,-11.478,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:33:09 PM,1,,,0,,,59
Ikon_magnetite_<100>_02,53,4.57E-07,1.76E-06,1.37E-06,2.28E-06,75.5,36.9,1.37E-06,1.76E-06,-4.57E-07,2.28E-06,52.1626,-11.5748,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:34:21 PM,1,,,0,,,53
Ikon_magnetite_<100>_02,48,4.63E-07,1.77E-06,1.36E-06,2.27E-06,75.3,36.6,1.36E-06,1.77E-06,-4.63E-07,2.27E-06,52.5033,-11.7496,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:35:06 PM,1,,,0,,,48
Ikon_magnetite_<100>_02,43,4.69E-07,1.77E-06,1.35E-06,2.27E-06,75.2,36.4,1.35E-06,1.77E-06,-4.69E-07,2.27E-06,52.6777,-11.9024,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:35:53 PM,1,,,0,,,43
Ikon_magnetite_<100>_02,38,4.68E-07,1.77E-06,1.35E-06,2.27E-06,75.2,36.3,1.35E-06,1.77E-06,-4.68E-07,2.27E-06,52.7398,-11.8981,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:36:24 PM,1,,,0,,,38
Ikon_magnetite_<100>_02,33,4.71E-07,1.77E-06,1.34E-06,2.27E-06,75.1,36.2,1.34E-06,1.77E-06,-4.71E-07,2.27E-06,52.8207,-11.9679,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:36:58 PM,1,,,0,,,33
Ikon_magnetite_<100>_02,28,4.74E-07,1.77E-06,1.33E-06,2.27E-06,75,36,1.33E-06,1.77E-06,-4.74E-07,2.27E-06,53.0565,-12.0472,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:37:24 PM,1,,,0,,,28
Ikon_magnetite_<100>_02,18,4.76E-07,1.77E-06,1.33E-06,2.27E-06,75,36,1.33E-06,1.77E-06,-4.76E-07,2.27E-06,53.0442,-12.1045,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:37:54 PM,1,,,0,,,18
