specimen,Meas_T[K],Mx[Am2],My[Am2],Mz[Am2],Mtot [Am2],Dec,Inc,MN [Am2],ME [Am2],MV [Am2],Mtot [Am2],Dec [deg],Inc [deg],Jnrm [Am2/kg],Jtrm [Am2/kg],Jarm [Am2/kg],Jirm [Am2/kg],Jnrm [A/m],Jtrm [A/m],Jarm [A/m],Jirm [A/m],AF [mT],T [C],Hdc [mT],Hdc dec [deg],Hdc inc [deg],data type,date,time,series,position[cm],Drift_ratio,Ja/Jr,run#,description,Meas_T [K]
Ikon_magnetite_<100>_02,129,3.45E-07,1.12E-06,1.14E-06,1.63E-06,72.8,44.2,1.14E-06,1.12E-06,-3.45E-07,1.63E-06,44.4915,-12.2398,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:20:33 PM,1,,,0,,,129
Ikon_magnetite_<100>_02,131,3.63E-07,1.16E-06,1.16E-06,1.68E-06,72.6,43.6,1.16E-06,1.16E-06,-3.63E-07,1.68E-06,45.0761,-12.4878,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:22:36 PM,1,,,0,,,131
Ikon_magnetite_<100>_02,133,3.67E-07,1.18E-06,1.17E-06,1.70E-06,72.8,43.3,1.17E-06,1.18E-06,-3.67E-07,1.70E-06,45.3678,-12.4404,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:23:54 PM,1,,,0,,,133
Ikon_magnetite_<100>_02,138,3.84E-07,1.25E-06,1.20E-06,1.77E-06,72.9,42.7,1.20E-06,1.25E-06,-3.84E-07,1.77E-06,45.9803,-12.4907,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:27:58 PM,1,,,0,,,138
Ikon_magnetite_<100>_02,143,3.88E-07,1.29E-06,1.23E-06,1.82E-06,73.2,42.4,1.23E-06,1.29E-06,-3.88E-07,1.82E-06,46.391,-12.3194,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:32:04 PM,1,,,0,,,143
Ikon_magnetite_<100>_02,148,3.98E-07,1.33E-06,1.25E-06,1.87E-06,73.3,42,1.25E-06,1.33E-06,-3.98E-07,1.87E-06,46.7572,-12.3055,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:37:23 PM,1,,,0,,,148
Ikon_magnetite_<100>_02,153,3.99E-07,1.37E-06,1.22E-06,1.88E-06,73.8,40.6,1.22E-06,1.37E-06,-3.99E-07,1.88E-06,48.2831,-12.2385,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:38:58 PM,1,,,0,,,153
Ikon_magnetite_<100>_02,158,3.94E-07,1.38E-06,1.23E-06,1.89E-06,74.1,40.7,1.23E-06,1.38E-06,-3.94E-07,1.89E-06,48.1918,-12.0127,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:40:22 PM,1,,,0,,,158
Ikon_magnetite_<100>_02,163,4.04E-07,1.41E-06,1.25E-06,1.93E-06,74.1,40.4,1.25E-06,1.41E-06,-4.04E-07,1.93E-06,48.4567,-12.0646,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:43:57 PM,1,,,0,,,163
Ikon_magnetite_<100>_02,168,4.18E-07,1.48E-06,1.10E-06,1.89E-06,74.2,35.5,1.10E-06,1.48E-06,-4.18E-07,1.89E-06,53.463,-12.7704,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:51:19 PM,1,,,0,,,168
Ikon_magnetite_<100>_02,170,3.96E-07,1.43E-06,1.26E-06,1.95E-06,74.6,40.4,1.26E-06,1.43E-06,-3.96E-07,1.95E-06,48.6044,-11.6973,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:53:16 PM,1,,,0,,,170
Ikon_magnetite_<100>_02,175,3.89E-07,1.39E-06,1.31E-06,1.95E-06,74.4,42.1,1.31E-06,1.39E-06,-3.89E-07,1.95E-06,46.7801,-11.5308,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:58:44 PM,1,,,0,,,175
Ikon_magnetite_<100>_02,183,3.81E-07,1.49E-06,1.28E-06,2.00E-06,75.7,39.6,1.28E-06,1.49E-06,-3.81E-07,2.00E-06,49.4667,-10.9818,,,,,,,,,,,,,,RM(Tmeas),4/22/10,4:06:09 PM,1,,,0,,,183
Ikon_magnetite_<100>_02,188,3.76E-07,1.50E-06,1.28E-06,2.00E-06,75.9,39.6,1.28E-06,1.50E-06,-3.76E-07,2.00E-06,49.4898,-10.8249,,,,,,,,,,,,,,RM(Tmeas),4/22/10,4:10:09 PM,1,,,0,,,188
Ikon_magnetite_<100>_02,207,3.59E-07,1.53E-06,1.32E-06,2.05E-06,76.8,40,1.32E-06,1.53E-06,-3.59E-07,2.05E-06,49.2399,-10.0647,,,,,,,,,,,,,,RM(Tmeas),4/22/10,4:21:26 PM,1,,,0,,,207
Ikon_magnetite_<100>_02,219,3.79E-07,1.54E-06,1.36E-06,2.09E-06,76.2,40.7,1.36E-06,1.54E-06,-3.79E-07,2.09E-06,48.5108,-10.4309,,,,,,,,,,,,,,RM(Tmeas),4/22/10,4:28:44 PM,1,,,0,,,219
Ikon_magnetite_<100>_02,225,3.50E-07,1.52E-06,1.33E-06,2.06E-06,77.1,40.5,1.33E-06,1.52E-06,-3.50E-07,2.06E-06,48.7918,-9.79962,,,,,,,,,,,,,,RM(Tmeas),4/22/10,4:31:44 PM,1,,,0,,,225
Ikon_magnetite_<100>_02,234,3.46E-07,1.52E-06,1.36E-06,2.07E-06,77.2,41.1,1.36E-06,1.52E-06,-3.46E-07,2.07E-06,48.2059,-9.6292,,,,,,,,,,,,,,RM(Tmeas),4/22/10,4:38:03 PM,1,,,0,,,234
Ikon_magnetite_<100>_02,243,3.36E-07,1.52E-06,1.32E-06,2.04E-06,77.5,40.3,1.32E-06,1.52E-06,-3.36E-07,2.04E-06,48.985,-9.50707,,,,,,,,,,,,,,RM(Tmeas),4/22/10,4:44:04 PM,1,,,0,,,243
Ikon_magnetite_<100>_02,253,3.44E-07,1.51E-06,1.35E-06,2.05E-06,77.1,41.2,1.35E-06,1.51E-06,-3.44E-07,2.05E-06,48.1017,-9.64021,,,,,,,,,,,,,,RM(Tmeas),4/22/10,4:52:26 PM,1,,,0,,,253
