specimen,Meas_T[K],Mx[Am2],My[Am2],Mz[Am2],Mtot [Am2],Dec,Inc,Mx-bcorr,My-bcorr,Mz-bcorr,Mt-bcorr,Dec-bcorr,Inc-bcorr,MN [Am2],ME [Am2],MV [Am2],Mtot [Am2],Dec [deg],Inc [deg],Jnrm [Am2/kg],Jtrm [Am2/kg],Jarm [Am2/kg],Jirm [Am2/kg],Jnrm [A/m],Jtrm [A/m],Jarm [A/m],Jirm [A/m],AF [mT],T [C],Hdc [mT],Hdc dec [deg],Hdc inc [deg],data type,date,time,series,position[cm],Drift_ratio,Ja/Jr,run#,description,Meas_T [K]
Ikon_magnetite_<100>_02,89,-2.62E-06,1.03E-08,4.94E-07,2.67E-06,179.8,10.7,-2.58E-06,4.26E-08,-6.87E-08,2.58E-06,179.1,-1.5,4.94E-07,1.03E-08,2.62E-06,2.67E-06,1.19852,79.3176,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:16:36 PM,3,,,0,,,89
Ikon_magnetite_<100>_02,93,-2.62E-06,6.89E-09,5.02E-07,2.66E-06,179.8,10.9,-2.58E-06,3.96E-08,-6.66E-08,2.58E-06,179.1,-1.5,5.02E-07,6.89E-09,2.62E-06,2.66E-06,0.785329,79.1274,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:18:26 PM,3,,,0,,,93
Ikon_magnetite_<100>_02,98,-2.62E-06,4.54E-09,5.23E-07,2.67E-06,179.9,11.3,-2.57E-06,3.79E-08,-5.35E-08,2.57E-06,179.2,-1.2,5.23E-07,4.54E-09,2.62E-06,2.67E-06,0.496652,78.6844,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:21:06 PM,3,,,0,,,98
Ikon_magnetite_<100>_02,103,-2.61E-06,3.45E-09,5.28E-07,2.67E-06,179.9,11.4,-2.57E-06,3.74E-08,-5.63E-08,2.57E-06,179.2,-1.3,5.28E-07,3.45E-09,2.61E-06,2.67E-06,0.373902,78.5641,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:23:59 PM,3,,,0,,,103
Ikon_magnetite_<100>_02,108,-2.60E-06,2.51E-09,5.40E-07,2.66E-06,179.9,11.7,-2.56E-06,3.71E-08,-5.31E-08,2.56E-06,179.2,-1.2,5.40E-07,2.51E-09,2.60E-06,2.66E-06,0.266904,78.2776,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:27:11 PM,3,,,0,,,108
Ikon_magnetite_<100>_02,111,-2.59E-06,2.30E-09,5.42E-07,2.65E-06,179.9,11.8,-2.55E-06,3.73E-08,-5.59E-08,2.55E-06,179.2,-1.3,5.42E-07,2.30E-09,2.59E-06,2.65E-06,0.242941,78.2011,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:29:17 PM,3,,,0,,,111
Ikon_magnetite_<100>_02,113,-2.58E-06,-3.23E-09,5.45E-07,2.63E-06,180.1,12,-2.53E-06,3.20E-08,-5.53E-08,2.53E-06,179.3,-1.3,5.45E-07,-3.23E-09,2.58E-06,2.63E-06,-0.339098,78.0496,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:30:32 PM,3,,,0,,,113
Ikon_magnetite_<100>_02,115,-1.46E-06,-2.87E-07,7.58E-07,1.67E-06,191.1,27,-1.42E-06,-2.52E-07,1.54E-07,1.45E-06,190.1,6.1,7.58E-07,-2.87E-07,1.46E-06,1.67E-06,-20.7441,60.9988,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:32:17 PM,3,,,0,,,115
Ikon_magnetite_<100>_02,116,-1.14E-06,-2.00E-07,6.36E-07,1.32E-06,190,28.8,-1.09E-06,-1.64E-07,3.03E-08,1.10E-06,188.6,1.6,6.36E-07,-2.00E-07,1.14E-06,1.32E-06,-17.4363,59.6386,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:33:10 PM,3,,,0,,,116
Ikon_magnetite_<100>_02,117,-1.13E-06,-2.08E-07,6.35E-07,1.31E-06,190.5,29,-1.08E-06,-1.73E-07,2.84E-08,1.10E-06,189.1,1.5,6.35E-07,-2.08E-07,1.13E-06,1.31E-06,-18.1479,59.3508,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:33:43 PM,3,,,0,,,117
Ikon_magnetite_<100>_02,118,-1.16E-06,-2.18E-07,6.38E-07,1.34E-06,190.6,28.3,-1.12E-06,-1.82E-07,2.96E-08,1.13E-06,189.2,1.5,6.38E-07,-2.18E-07,1.16E-06,1.34E-06,-18.8396,59.9106,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:34:29 PM,3,,,0,,,118
Ikon_magnetite_<100>_02,119,-1.21E-06,-2.32E-07,6.50E-07,1.39E-06,190.9,27.9,-1.16E-06,-1.97E-07,3.96E-08,1.18E-06,189.6,1.9,6.50E-07,-2.32E-07,1.21E-06,1.39E-06,-19.6918,60.2331,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:35:31 PM,3,,,0,,,119
Ikon_magnetite_<100>_02,120,-1.24E-06,-2.42E-07,6.55E-07,1.42E-06,191.1,27.5,-1.19E-06,-2.06E-07,4.35E-08,1.21E-06,189.8,2.1,6.55E-07,-2.42E-07,1.24E-06,1.42E-06,-20.2991,60.5154,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:36:04 PM,3,,,0,,,120
Ikon_magnetite_<100>_02,123,-1.34E-06,-2.43E-07,6.74E-07,1.52E-06,190.3,26.3,-1.30E-06,-2.07E-07,5.77E-08,1.31E-06,189.1,2.5,6.74E-07,-2.43E-07,1.34E-06,1.52E-06,-19.8589,61.9362,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:38:18 PM,3,,,0,,,123
Ikon_magnetite_<100>_02,128,-1.50E-06,-2.75E-07,6.96E-07,1.67E-06,190.4,24.6,-1.45E-06,-2.38E-07,7.19E-08,1.47E-06,189.3,2.8,6.96E-07,-2.75E-07,1.50E-06,1.67E-06,-21.5306,63.4196,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:42:39 PM,3,,,0,,,128
Ikon_magnetite_<100>_02,133,-1.59E-06,-3.03E-07,6.95E-07,1.76E-06,190.8,23.2,-1.54E-06,-2.65E-07,6.28E-08,1.56E-06,189.8,2.3,6.95E-07,-3.03E-07,1.59E-06,1.76E-06,-23.5674,64.5015,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:46:21 PM,3,,,0,,,133
Ikon_magnetite_<100>_02,142,-1.73E-06,-3.24E-07,6.94E-07,1.89E-06,190.6,21.5,-1.68E-06,-2.85E-07,4.78E-08,1.70E-06,189.7,1.6,6.94E-07,-3.24E-07,1.73E-06,1.89E-06,-25.0343,66.0912,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:54:32 PM,3,,,0,,,142
Ikon_magnetite_<100>_02,157,-1.84E-06,-3.59E-07,7.02E-07,2.00E-06,191,20.5,-1.78E-06,-3.18E-07,3.24E-08,1.81E-06,190.1,1,7.02E-07,-3.59E-07,1.84E-06,2.00E-06,-27.0462,66.8112,,,,,,,,,,,,,,RM(Tmeas),4/26/10,3:09:10 PM,3,,,0,,,157
Ikon_magnetite_<100>_02,170,-1.90E-06,-3.70E-07,6.58E-07,2.04E-06,191,18.8,-1.84E-06,-3.28E-07,-3.21E-08,1.87E-06,190.1,-1,6.58E-07,-3.70E-07,1.90E-06,2.04E-06,-29.3246,68.288,,,,,,,,,,,,,,RM(Tmeas),4/26/10,3:22:31 PM,3,,,0,,,170
Ikon_magnetite_<100>_02,170,-1.90E-06,-3.71E-07,7.12E-07,2.06E-06,191.1,20.2,-1.84E-06,-3.29E-07,2.11E-08,1.87E-06,190.1,0.6,7.12E-07,-3.71E-07,1.90E-06,2.06E-06,-27.5571,67.086,,,,,,,,,,,,,,RM(Tmeas),4/26/10,3:23:00 PM,3,,,0,,,170
Ikon_magnetite_<100>_02,173,-1.90E-06,-3.73E-07,7.17E-07,2.07E-06,191.1,20.3,-1.84E-06,-3.30E-07,2.20E-08,1.87E-06,190.2,0.7,7.17E-07,-3.73E-07,1.90E-06,2.07E-06,-27.4752,66.9954,,,,,,,,,,,,,,RM(Tmeas),4/26/10,3:25:24 PM,3,,,0,,,173
Ikon_magnetite_<100>_02,190,-1.94E-06,-3.85E-07,7.44E-07,2.11E-06,191.2,20.7,-1.87E-06,-3.40E-07,2.20E-08,1.90E-06,190.3,0.7,7.44E-07,-3.85E-07,1.94E-06,2.11E-06,-27.3337,66.5993,,,,,,,,,,,,,,RM(Tmeas),4/26/10,3:45:31 PM,3,,,0,,,190
Ikon_magnetite_<100>_02,198,-1.95E-06,-3.88E-07,7.64E-07,2.13E-06,191.3,21,-1.88E-06,-3.42E-07,2.89E-08,1.91E-06,190.3,0.9,7.64E-07,-3.88E-07,1.95E-06,2.13E-06,-26.9076,66.2599,,,,,,,,,,,,,,RM(Tmeas),4/26/10,3:55:54 PM,3,,,0,,,198
Ikon_magnetite_<100>_02,213,-1.94E-06,-3.97E-07,7.88E-07,2.13E-06,191.6,21.7,-1.87E-06,-3.49E-07,2.95E-08,1.90E-06,190.6,0.9,7.88E-07,-3.97E-07,1.94E-06,2.13E-06,-26.7343,65.5612,,,,,,,,,,,,,,RM(Tmeas),4/26/10,4:17:04 PM,3,,,0,,,213
Ikon_magnetite_<100>_02,223,-1.95E-06,-4.05E-07,8.03E-07,2.14E-06,191.8,22,-1.87E-06,-3.56E-07,2.87E-08,1.91E-06,190.8,0.9,8.03E-07,-4.05E-07,1.95E-06,2.14E-06,-26.7614,65.2011,,,,,,,,,,,,,,RM(Tmeas),4/26/10,4:31:24 PM,3,,,0,,,223
Ikon_magnetite_<100>_02,249,-1.92E-06,-4.15E-07,8.44E-07,2.13E-06,192.2,23.3,-1.84E-06,-3.63E-07,2.88E-08,1.87E-06,191.2,0.9,8.44E-07,-4.15E-07,1.92E-06,2.13E-06,-26.1771,63.8545,,,,,,,,,,,,,,RM(Tmeas),4/26/10,5:09:20 PM,3,,,0,,,249
