measurement_T[K]	Mx[Am2]	My[Am2]	Mz[Am2]	moment[Am2]	Measurement_series
188.46	-8.34E-07	-2.75E-08	3.24E-07	8.95E-07	2
190.97	-8.52E-07	-2.73E-08	3.24E-07	9.12E-07	2
193.28	-8.68E-07	-2.79E-08	3.25E-07	9.27E-07	2
195.24	-8.80E-07	-2.82E-08	3.25E-07	9.38E-07	2
197.11	-8.92E-07	-2.85E-08	3.25E-07	9.50E-07	2
199.39	-9.05E-07	-2.87E-08	3.25E-07	9.62E-07	2
201.52	-9.17E-07	-2.93E-08	3.25E-07	9.73E-07	2
203.35	-9.28E-07	-2.96E-08	3.24E-07	9.83E-07	2
205.34	-9.38E-07	-2.96E-08	3.24E-07	9.93E-07	2
207.17	-9.48E-07	-3.03E-08	3.23E-07	1.00E-06	2
209.18	-9.57E-07	-3.08E-08	3.22E-07	1.01E-06	2
210.95	-9.59E-07	-3.11E-08	3.21E-07	1.01E-06	2
212.6	-9.66E-07	-3.17E-08	3.21E-07	1.02E-06	2
214.44	-9.73E-07	-3.19E-08	3.20E-07	1.03E-06	2
216.08	-9.81E-07	-3.24E-08	3.20E-07	1.03E-06	2
217.89	-9.89E-07	-3.28E-08	3.18E-07	1.04E-06	2
219.53	-9.95E-07	-3.31E-08	3.17E-07	1.04E-06	2
221.15	-1.00E-06	-3.37E-08	3.16E-07	1.05E-06	2
222.71	-1.01E-06	-3.42E-08	3.15E-07	1.06E-06	2
224.28	-1.01E-06	-3.44E-08	3.14E-07	1.06E-06	2
225.83	-1.02E-06	-3.48E-08	3.13E-07	1.06E-06	2
227.34	-1.02E-06	-3.51E-08	3.12E-07	1.07E-06	2
228.9	-1.03E-06	-3.54E-08	3.11E-07	1.07E-06	2
230.46	-1.03E-06	-3.56E-08	3.09E-07	1.08E-06	2
231.93	-1.04E-06	-3.61E-08	3.08E-07	1.08E-06	2
233.51	-1.04E-06	-3.63E-08	3.07E-07	1.09E-06	2
235.09	-1.05E-06	-3.66E-08	3.05E-07	1.09E-06	2
236.84	-1.05E-06	-3.70E-08	3.04E-07	1.09E-06	2
238.31	-1.05E-06	-3.72E-08	3.03E-07	1.10E-06	2
239.82	-1.06E-06	-3.75E-08	3.02E-07	1.10E-06	2
241.45	-1.06E-06	-3.77E-08	3.00E-07	1.10E-06	2
243.01	-1.07E-06	-3.79E-08	2.98E-07	1.11E-06	2
244.54	-1.07E-06	-3.84E-08	2.97E-07	1.11E-06	2
246.08	-1.07E-06	-3.86E-08	2.95E-07	1.11E-06	2
247.49	-1.08E-06	-3.88E-08	2.93E-07	1.12E-06	2
249.09	-1.08E-06	-3.92E-08	2.92E-07	1.12E-06	2
250.52	-1.08E-06	-3.95E-08	2.90E-07	1.12E-06	2
252.16	-1.08E-06	-3.97E-08	2.88E-07	1.12E-06	2
253.61	-1.09E-06	-3.98E-08	2.86E-07	1.12E-06	2
255.01	-1.09E-06	-4.02E-08	2.85E-07	1.13E-06	2
256.33	-1.09E-06	-4.04E-08	2.83E-07	1.13E-06	2
257.68	-1.09E-06	-4.05E-08	2.81E-07	1.13E-06	2
259.05	-1.09E-06	-4.05E-08	2.79E-07	1.13E-06	2
260.46	-1.10E-06	-4.06E-08	2.77E-07	1.13E-06	2
261.74	-1.10E-06	-4.06E-08	2.75E-07	1.13E-06	2
263.08	-1.10E-06	-4.05E-08	2.73E-07	1.13E-06	2
264.45	-1.10E-06	-4.07E-08	2.70E-07	1.13E-06	2
265.86	-1.10E-06	-4.08E-08	2.68E-07	1.13E-06	2
267.22	-1.10E-06	-4.07E-08	2.66E-07	1.13E-06	2
268.63	-1.10E-06	-4.07E-08	2.64E-07	1.13E-06	2
269.92	-1.10E-06	-4.07E-08	2.62E-07	1.13E-06	2
271.2	-1.10E-06	-4.07E-08	2.60E-07	1.13E-06	2
272.56	-1.10E-06	-4.06E-08	2.57E-07	1.13E-06	2
273.81	-1.10E-06	-4.05E-08	2.56E-07	1.13E-06	2
275.17	-1.10E-06	-4.10E-08	2.54E-07	1.13E-06	2
276.42	-1.10E-06	-4.10E-08	2.52E-07	1.13E-06	2
277.7	-1.10E-06	-4.13E-08	2.50E-07	1.13E-06	2
278.98	-1.10E-06	-4.12E-08	2.48E-07	1.13E-06	2
280.22	-1.10E-06	-4.16E-08	2.46E-07	1.13E-06	2
281.42	-1.10E-06	-4.20E-08	2.44E-07	1.13E-06	2
282.71	-1.10E-06	-4.23E-08	2.42E-07	1.13E-06	2
283.91	-1.10E-06	-4.28E-08	2.40E-07	1.13E-06	2
285.07	-1.10E-06	-4.30E-08	2.39E-07	1.13E-06	2
286.23	-1.10E-06	-4.32E-08	2.37E-07	1.13E-06	2
287.4	-1.10E-06	-4.28E-08	2.36E-07	1.13E-06	2
288.5	-1.10E-06	-4.28E-08	2.35E-07	1.13E-06	2
289.66	-1.10E-06	-4.30E-08	2.33E-07	1.13E-06	2
290.77	-1.10E-06	-4.30E-08	2.32E-07	1.13E-06	2
291.86	-1.10E-06	-4.31E-08	2.31E-07	1.13E-06	2
292.91	-1.10E-06	-4.29E-08	2.31E-07	1.13E-06	2
293.37	-1.10E-06	-4.22E-08	2.31E-07	1.13E-06	2
293.45	-1.10E-06	-4.16E-08	2.30E-07	1.13E-06	2
