measurement_T[K]	Mx[Am2]	My[Am2]	Mz[Am2]	moment[Am2]	Measurement_series
203.56	-2.38E-06	-6.53E-06	2.32E-05	2.42E-05	2
201.68	-2.37E-06	-6.51E-06	2.31E-05	2.41E-05	2
199.52	-2.37E-06	-6.48E-06	2.30E-05	2.40E-05	2
197.5	-2.36E-06	-6.45E-06	2.29E-05	2.39E-05	2
195.47	-2.35E-06	-6.42E-06	2.28E-05	2.38E-05	2
193.46	-2.35E-06	-6.39E-06	2.27E-05	2.37E-05	2
191.09	-2.34E-06	-6.35E-06	2.26E-05	2.36E-05	2
188.78	-2.33E-06	-6.31E-06	2.25E-05	2.35E-05	2
186.27	-2.31E-06	-6.26E-06	2.23E-05	2.33E-05	2
183.41	-2.30E-06	-6.20E-06	2.21E-05	2.31E-05	2
179.87	-2.27E-06	-6.13E-06	2.19E-05	2.28E-05	2
176.27	-2.26E-06	-6.05E-06	2.16E-05	2.25E-05	2
172.53	-2.23E-06	-5.96E-06	2.13E-05	2.22E-05	2
169.13	-2.20E-06	-5.86E-06	2.10E-05	2.19E-05	2
166.36	-2.18E-06	-5.78E-06	2.07E-05	2.16E-05	2
163.69	-2.15E-06	-5.70E-06	2.04E-05	2.13E-05	2
161.24	-2.13E-06	-5.61E-06	2.01E-05	2.09E-05	2
158.81	-2.11E-06	-5.53E-06	1.98E-05	2.06E-05	2
156.55	-2.08E-06	-5.43E-06	1.94E-05	2.03E-05	2
154	-2.04E-06	-5.33E-06	1.91E-05	1.99E-05	2
151.29	-2.01E-06	-5.21E-06	1.87E-05	1.95E-05	2
148.81	-1.98E-06	-5.08E-06	1.82E-05	1.90E-05	2
145.97	-1.94E-06	-4.95E-06	1.78E-05	1.85E-05	2
143.01	-1.89E-06	-4.79E-06	1.72E-05	1.80E-05	2
140.05	-1.83E-06	-4.62E-06	1.66E-05	1.73E-05	2
136.68	-1.77E-06	-4.42E-06	1.59E-05	1.66E-05	2
133.79	-1.70E-06	-4.19E-06	1.52E-05	1.58E-05	2
130.43	-1.62E-06	-3.94E-06	1.43E-05	1.49E-05	2
127.29	-1.52E-06	-3.64E-06	1.32E-05	1.38E-05	2
123.54	-1.40E-06	-3.29E-06	1.20E-05	1.25E-05	2
119.42	-1.25E-06	-2.87E-06	1.04E-05	1.09E-05	2
115.32	-1.06E-06	-2.40E-06	8.61E-06	9.00E-06	2
111.91	-8.80E-07	-1.98E-06	7.00E-06	7.33E-06	2
108.6	-7.61E-07	-1.69E-06	5.93E-06	6.22E-06	2
105.17	-7.06E-07	-1.52E-06	5.29E-06	5.55E-06	2
101.34	-6.71E-07	-1.44E-06	4.98E-06	5.23E-06	2
98.28	-6.59E-07	-1.41E-06	4.87E-06	5.11E-06	2
93.97	-6.57E-07	-1.40E-06	4.85E-06	5.09E-06	2
90.29	-6.58E-07	-1.40E-06	4.86E-06	5.10E-06	2
86.63	-6.59E-07	-1.41E-06	4.87E-06	5.11E-06	2
83.02	-6.60E-07	-1.41E-06	4.88E-06	5.12E-06	2
78.95	-6.62E-07	-1.41E-06	4.88E-06	5.13E-06	2
76.24	-6.63E-07	-1.42E-06	4.89E-06	5.13E-06	2
73.41	-6.64E-07	-1.42E-06	4.90E-06	5.14E-06	2
69.98	-6.65E-07	-1.42E-06	4.90E-06	5.15E-06	2
66.5	-6.66E-07	-1.42E-06	4.91E-06	5.16E-06	2
62.85	-6.67E-07	-1.42E-06	4.92E-06	5.16E-06	2
59.45	-6.69E-07	-1.43E-06	4.93E-06	5.17E-06	2
55.27	-6.71E-07	-1.43E-06	4.94E-06	5.18E-06	2
52	-6.73E-07	-1.43E-06	4.95E-06	5.19E-06	2
47.39	-6.74E-07	-1.44E-06	4.95E-06	5.20E-06	2
42.94	-6.78E-07	-1.44E-06	4.99E-06	5.24E-06	2
38.25	-6.82E-07	-1.44E-06	5.01E-06	5.26E-06	2
32.11	-6.83E-07	-1.45E-06	5.02E-06	5.27E-06	2
26.33	-6.81E-07	-1.46E-06	5.03E-06	5.28E-06	2
17.99	-6.73E-07	-1.48E-06	5.05E-06	5.31E-06	2
7.68	-6.63E-07	-1.50E-06	5.06E-06	5.32E-06	2
5.89	-6.64E-07	-1.49E-06	5.06E-06	5.32E-06	2
8.74	-6.67E-07	-1.49E-06	5.06E-06	5.31E-06	2
11.49	-6.67E-07	-1.48E-06	5.06E-06	5.31E-06	2
15.01	-6.68E-07	-1.48E-06	5.06E-06	5.31E-06	2
16.75	-6.67E-07	-1.48E-06	5.06E-06	5.31E-06	2
18.31	-6.67E-07	-1.48E-06	5.05E-06	5.31E-06	2
19.89	-6.66E-07	-1.48E-06	5.05E-06	5.31E-06	2
21.47	-6.66E-07	-1.48E-06	5.05E-06	5.30E-06	2
23.03	-6.66E-07	-1.48E-06	5.05E-06	5.30E-06	2
24.5	-6.65E-07	-1.47E-06	5.04E-06	5.30E-06	2
25.64	-6.65E-07	-1.47E-06	5.04E-06	5.30E-06	2
26.99	-6.64E-07	-1.47E-06	5.04E-06	5.29E-06	2
28.26	-6.64E-07	-1.47E-06	5.04E-06	5.29E-06	2
29.51	-6.64E-07	-1.47E-06	5.03E-06	5.29E-06	2
30.74	-6.63E-07	-1.47E-06	5.03E-06	5.28E-06	2
31.88	-6.63E-07	-1.47E-06	5.03E-06	5.28E-06	2
33.13	-6.63E-07	-1.47E-06	5.03E-06	5.28E-06	2
33.98	-6.62E-07	-1.47E-06	5.02E-06	5.28E-06	2
35.18	-6.62E-07	-1.47E-06	5.02E-06	5.27E-06	2
36.41	-6.61E-07	-1.47E-06	5.02E-06	5.27E-06	2
37.64	-6.62E-07	-1.47E-06	5.02E-06	5.27E-06	2
38.85	-6.61E-07	-1.47E-06	5.01E-06	5.27E-06	2
40.06	-6.60E-07	-1.47E-06	5.01E-06	5.26E-06	2
41.23	-6.60E-07	-1.47E-06	5.01E-06	5.26E-06	2
42.38	-6.59E-07	-1.47E-06	5.00E-06	5.26E-06	2
43.5	-6.59E-07	-1.47E-06	5.00E-06	5.25E-06	2
44.74	-6.59E-07	-1.46E-06	5.00E-06	5.25E-06	2
45.92	-6.58E-07	-1.46E-06	4.99E-06	5.24E-06	2
47.11	-6.56E-07	-1.46E-06	4.97E-06	5.23E-06	2
48.5	-6.55E-07	-1.46E-06	5.02E-06	5.27E-06	2
49.7	-6.55E-07	-1.46E-06	4.96E-06	5.21E-06	2
50.83	-6.55E-07	-1.46E-06	4.95E-06	5.21E-06	2
51.89	-6.54E-07	-1.46E-06	4.96E-06	5.21E-06	2
53.02	-6.54E-07	-1.46E-06	4.95E-06	5.20E-06	2
54.11	-6.54E-07	-1.45E-06	4.95E-06	5.20E-06	2
55.29	-6.54E-07	-1.45E-06	4.94E-06	5.19E-06	2
56.41	-6.53E-07	-1.45E-06	4.94E-06	5.19E-06	2
57.59	-6.53E-07	-1.45E-06	4.94E-06	5.19E-06	2
58.74	-6.52E-07	-1.45E-06	4.94E-06	5.19E-06	2
59.62	-6.52E-07	-1.45E-06	4.93E-06	5.18E-06	2
60.74	-6.52E-07	-1.45E-06	4.93E-06	5.18E-06	2
61.88	-6.52E-07	-1.45E-06	4.93E-06	5.18E-06	2
63.06	-6.52E-07	-1.45E-06	4.93E-06	5.17E-06	2
64.14	-6.52E-07	-1.44E-06	4.92E-06	5.17E-06	2
65.25	-6.51E-07	-1.44E-06	4.92E-06	5.17E-06	2
66.39	-6.51E-07	-1.44E-06	4.92E-06	5.17E-06	2
67.58	-6.50E-07	-1.44E-06	4.91E-06	5.16E-06	2
68.69	-6.50E-07	-1.44E-06	4.91E-06	5.16E-06	2
69.82	-6.50E-07	-1.44E-06	4.91E-06	5.16E-06	2
71.05	-6.50E-07	-1.44E-06	4.91E-06	5.16E-06	2
72.17	-6.50E-07	-1.44E-06	4.91E-06	5.15E-06	2
73.24	-6.50E-07	-1.44E-06	4.90E-06	5.15E-06	2
74.4	-6.49E-07	-1.43E-06	4.90E-06	5.15E-06	2
75.48	-6.49E-07	-1.43E-06	4.90E-06	5.15E-06	2
76.6	-6.49E-07	-1.43E-06	4.90E-06	5.14E-06	2
77.7	-6.49E-07	-1.43E-06	4.90E-06	5.14E-06	2
78.79	-6.48E-07	-1.43E-06	4.89E-06	5.14E-06	2
79.87	-6.48E-07	-1.43E-06	4.89E-06	5.14E-06	2
81.02	-6.48E-07	-1.43E-06	4.89E-06	5.14E-06	2
82.13	-6.48E-07	-1.43E-06	4.89E-06	5.14E-06	2
83.28	-6.47E-07	-1.43E-06	4.89E-06	5.13E-06	2
84.41	-6.47E-07	-1.43E-06	4.89E-06	5.13E-06	2
85.54	-6.47E-07	-1.43E-06	4.89E-06	5.13E-06	2
86.65	-6.47E-07	-1.43E-06	4.88E-06	5.13E-06	2
87.87	-6.46E-07	-1.42E-06	4.88E-06	5.13E-06	2
89.01	-6.47E-07	-1.42E-06	4.88E-06	5.12E-06	2
90.15	-6.46E-07	-1.42E-06	4.88E-06	5.12E-06	2
91.29	-6.46E-07	-1.42E-06	4.88E-06	5.12E-06	2
92.43	-6.46E-07	-1.42E-06	4.88E-06	5.12E-06	2
93.61	-6.45E-07	-1.42E-06	4.87E-06	5.12E-06	2
94.78	-6.46E-07	-1.42E-06	4.87E-06	5.12E-06	2
95.93	-6.46E-07	-1.42E-06	4.88E-06	5.12E-06	2
97.04	-6.47E-07	-1.42E-06	4.88E-06	5.12E-06	2
98.22	-6.49E-07	-1.42E-06	4.89E-06	5.13E-06	2
99.32	-6.51E-07	-1.43E-06	4.90E-06	5.15E-06	2
100.41	-6.56E-07	-1.43E-06	4.94E-06	5.18E-06	2
101.55	-6.62E-07	-1.45E-06	4.98E-06	5.23E-06	2
102.7	-6.70E-07	-1.46E-06	5.04E-06	5.29E-06	2
103.85	-6.78E-07	-1.48E-06	5.11E-06	5.36E-06	2
104.95	-6.85E-07	-1.50E-06	5.17E-06	5.42E-06	2
106.07	-6.95E-07	-1.52E-06	5.27E-06	5.53E-06	2
107.21	-7.06E-07	-1.56E-06	5.41E-06	5.67E-06	2
108.31	-7.20E-07	-1.60E-06	5.57E-06	5.84E-06	2
109.43	-7.37E-07	-1.65E-06	5.77E-06	6.05E-06	2
110.54	-7.52E-07	-1.72E-06	6.02E-06	6.30E-06	2
111.65	-7.80E-07	-1.78E-06	6.28E-06	6.57E-06	2
112.81	-8.15E-07	-1.85E-06	6.56E-06	6.87E-06	2
113.97	-8.53E-07	-1.93E-06	6.87E-06	7.19E-06	2
115.12	-8.89E-07	-2.00E-06	7.17E-06	7.50E-06	2
116.3	-9.16E-07	-2.07E-06	7.45E-06	7.79E-06	2
117.66	-9.46E-07	-2.12E-06	7.68E-06	8.02E-06	2
118.83	-9.64E-07	-2.17E-06	7.86E-06	8.21E-06	2
119.98	-9.88E-07	-2.23E-06	8.10E-06	8.46E-06	2
121.19	-1.01E-06	-2.28E-06	8.33E-06	8.69E-06	2
122.39	-1.02E-06	-2.31E-06	8.47E-06	8.84E-06	2
123.52	-1.04E-06	-2.35E-06	8.60E-06	8.97E-06	2
124.65	-1.05E-06	-2.39E-06	8.77E-06	9.15E-06	2
125.81	-1.06E-06	-2.43E-06	8.94E-06	9.32E-06	2
126.96	-1.07E-06	-2.46E-06	9.05E-06	9.44E-06	2
128.07	-1.09E-06	-2.50E-06	9.19E-06	9.58E-06	2
129.2	-1.10E-06	-2.53E-06	9.33E-06	9.73E-06	2
130.33	-1.11E-06	-2.57E-06	9.46E-06	9.87E-06	2
131.42	-1.12E-06	-2.60E-06	9.58E-06	9.99E-06	2
132.61	-1.14E-06	-2.63E-06	9.69E-06	1.01E-05	2
133.71	-1.14E-06	-2.65E-06	9.78E-06	1.02E-05	2
134.85	-1.15E-06	-2.68E-06	9.87E-06	1.03E-05	2
135.99	-1.16E-06	-2.70E-06	9.97E-06	1.04E-05	2
137.18	-1.17E-06	-2.73E-06	1.01E-05	1.05E-05	2
138.34	-1.18E-06	-2.75E-06	1.01E-05	1.06E-05	2
139.5	-1.19E-06	-2.77E-06	1.02E-05	1.06E-05	2
140.63	-1.20E-06	-2.79E-06	1.03E-05	1.07E-05	2
141.77	-1.19E-06	-2.81E-06	1.04E-05	1.09E-05	2
142.88	-1.20E-06	-2.83E-06	1.04E-05	1.09E-05	2
144.01	-1.21E-06	-2.84E-06	1.05E-05	1.09E-05	2
145.08	-1.21E-06	-2.86E-06	1.06E-05	1.10E-05	2
146.18	-1.22E-06	-2.88E-06	1.06E-05	1.11E-05	2
147.27	-1.23E-06	-2.89E-06	1.07E-05	1.11E-05	2
148.44	-1.23E-06	-2.91E-06	1.07E-05	1.12E-05	2
149.51	-1.24E-06	-2.92E-06	1.08E-05	1.12E-05	2
150.6	-1.24E-06	-2.94E-06	1.08E-05	1.13E-05	2
151.71	-1.25E-06	-2.95E-06	1.09E-05	1.14E-05	2
152.69	-1.25E-06	-2.96E-06	1.09E-05	1.14E-05	2
153.81	-1.26E-06	-2.98E-06	1.10E-05	1.15E-05	2
154.89	-1.26E-06	-2.99E-06	1.10E-05	1.15E-05	2
156.07	-1.27E-06	-3.00E-06	1.11E-05	1.16E-05	2
157.14	-1.27E-06	-3.01E-06	1.11E-05	1.16E-05	2
158.2	-1.27E-06	-3.02E-06	1.12E-05	1.16E-05	2
159.3	-1.28E-06	-3.03E-06	1.12E-05	1.17E-05	2
160.37	-1.28E-06	-3.04E-06	1.13E-05	1.17E-05	2
161.46	-1.29E-06	-3.06E-06	1.13E-05	1.18E-05	2
162.54	-1.29E-06	-3.07E-06	1.13E-05	1.18E-05	2
163.61	-1.29E-06	-3.08E-06	1.14E-05	1.19E-05	2
164.73	-1.30E-06	-3.09E-06	1.14E-05	1.19E-05	2
165.93	-1.30E-06	-3.10E-06	1.15E-05	1.19E-05	2
167.03	-1.30E-06	-3.11E-06	1.15E-05	1.20E-05	2
168.15	-1.31E-06	-3.11E-06	1.15E-05	1.20E-05	2
169.27	-1.31E-06	-3.12E-06	1.16E-05	1.20E-05	2
170.34	-1.31E-06	-3.13E-06	1.16E-05	1.21E-05	2
171.43	-1.32E-06	-3.13E-06	1.16E-05	1.21E-05	2
172.47	-1.32E-06	-3.14E-06	1.16E-05	1.21E-05	2
173.56	-1.32E-06	-3.15E-06	1.17E-05	1.21E-05	2
174.64	-1.32E-06	-3.16E-06	1.17E-05	1.22E-05	2
175.72	-1.33E-06	-3.16E-06	1.17E-05	1.22E-05	2
176.8	-1.33E-06	-3.17E-06	1.17E-05	1.22E-05	2
177.86	-1.33E-06	-3.18E-06	1.18E-05	1.22E-05	2
178.95	-1.33E-06	-3.18E-06	1.18E-05	1.23E-05	2
180.01	-1.33E-06	-3.19E-06	1.18E-05	1.23E-05	2
181.07	-1.34E-06	-3.19E-06	1.18E-05	1.23E-05	2
182.13	-1.34E-06	-3.20E-06	1.18E-05	1.23E-05	2
183.21	-1.34E-06	-3.20E-06	1.19E-05	1.24E-05	2
184.31	-1.34E-06	-3.21E-06	1.19E-05	1.24E-05	2
185.42	-1.34E-06	-3.22E-06	1.19E-05	1.24E-05	2
186.45	-1.35E-06	-3.22E-06	1.19E-05	1.24E-05	2
187.52	-1.35E-06	-3.23E-06	1.19E-05	1.24E-05	2
188.61	-1.35E-06	-3.23E-06	1.20E-05	1.25E-05	2
189.69	-1.34E-06	-3.23E-06	1.20E-05	1.25E-05	2
190.78	-1.34E-06	-3.24E-06	1.20E-05	1.25E-05	2
191.94	-1.35E-06	-3.25E-06	1.20E-05	1.25E-05	2
193.01	-1.35E-06	-3.25E-06	1.20E-05	1.25E-05	2
194.05	-1.35E-06	-3.26E-06	1.21E-05	1.26E-05	2
195.13	-1.35E-06	-3.26E-06	1.21E-05	1.26E-05	2
196.21	-1.35E-06	-3.26E-06	1.21E-05	1.26E-05	2
197.28	-1.35E-06	-3.27E-06	1.21E-05	1.26E-05	2
198.34	-1.36E-06	-3.27E-06	1.21E-05	1.26E-05	2
199.43	-1.36E-06	-3.27E-06	1.21E-05	1.26E-05	2
200.51	-1.36E-06	-3.28E-06	1.21E-05	1.26E-05	2
201.57	-1.36E-06	-3.34E-06	1.22E-05	1.27E-05	2
202.63	-1.36E-06	-3.28E-06	1.22E-05	1.27E-05	2
203.69	-1.36E-06	-3.28E-06	1.22E-05	1.27E-05	2
204.76	-1.36E-06	-3.29E-06	1.22E-05	1.27E-05	2
205.83	-1.36E-06	-3.29E-06	1.22E-05	1.27E-05	2
206.92	-1.36E-06	-3.29E-06	1.22E-05	1.27E-05	2
208.04	-1.37E-06	-3.30E-06	1.22E-05	1.27E-05	2
209.11	-1.37E-06	-3.30E-06	1.22E-05	1.27E-05	2
210.24	-1.37E-06	-3.30E-06	1.22E-05	1.28E-05	2
211.32	-1.37E-06	-3.30E-06	1.23E-05	1.28E-05	2
212.38	-1.37E-06	-3.31E-06	1.23E-05	1.28E-05	2
213.48	-1.37E-06	-3.31E-06	1.23E-05	1.28E-05	2
214.53	-1.37E-06	-3.31E-06	1.23E-05	1.28E-05	2
215.59	-1.37E-06	-3.32E-06	1.23E-05	1.28E-05	2
216.66	-1.37E-06	-3.32E-06	1.23E-05	1.28E-05	2
217.74	-1.37E-06	-3.32E-06	1.23E-05	1.28E-05	2
218.79	-1.37E-06	-3.32E-06	1.23E-05	1.28E-05	2
219.85	-1.37E-06	-3.32E-06	1.23E-05	1.28E-05	2
220.92	-1.37E-06	-3.32E-06	1.23E-05	1.28E-05	2
222.03	-1.37E-06	-3.33E-06	1.23E-05	1.28E-05	2
223.16	-1.37E-06	-3.33E-06	1.23E-05	1.28E-05	2
224.22	-1.37E-06	-3.33E-06	1.23E-05	1.28E-05	2
225.41	-1.37E-06	-3.33E-06	1.24E-05	1.29E-05	2
226.5	-1.37E-06	-3.33E-06	1.23E-05	1.29E-05	2
227.61	-1.37E-06	-3.33E-06	1.23E-05	1.29E-05	2
228.68	-1.37E-06	-3.33E-06	1.24E-05	1.29E-05	2
229.77	-1.37E-06	-3.34E-06	1.24E-05	1.29E-05	2
230.9	-1.37E-06	-3.34E-06	1.24E-05	1.29E-05	2
232.05	-1.37E-06	-3.34E-06	1.24E-05	1.29E-05	2
233.1	-1.37E-06	-3.34E-06	1.24E-05	1.29E-05	2
234.14	-1.37E-06	-3.34E-06	1.24E-05	1.29E-05	2
235.15	-1.37E-06	-3.34E-06	1.24E-05	1.29E-05	2
236.17	-1.37E-06	-3.34E-06	1.24E-05	1.29E-05	2
237.21	-1.37E-06	-3.34E-06	1.24E-05	1.29E-05	2
238.28	-1.37E-06	-3.34E-06	1.24E-05	1.29E-05	2
239.33	-1.37E-06	-3.34E-06	1.24E-05	1.29E-05	2
240.39	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
241.42	-1.37E-06	-3.34E-06	1.24E-05	1.29E-05	2
242.44	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
243.49	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
244.59	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
245.65	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
246.7	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
247.69	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
248.72	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
249.76	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
250.78	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
251.8	-1.37E-06	-3.35E-06	1.24E-05	1.30E-05	2
252.83	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
253.86	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
254.9	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
255.93	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
256.96	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
257.97	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
259.02	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
260.05	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
261.03	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
262.06	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
263.11	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
264.19	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
265.22	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
266.25	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
267.3	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
268.3	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
269.29	-1.36E-06	-3.35E-06	1.24E-05	1.29E-05	2
270.3	-1.37E-06	-3.35E-06	1.24E-05	1.29E-05	2
271.3	-1.36E-06	-3.35E-06	1.24E-05	1.29E-05	2
272.33	-1.36E-06	-3.35E-06	1.24E-05	1.29E-05	2
273.31	-1.36E-06	-3.34E-06	1.24E-05	1.29E-05	2
274.35	-1.36E-06	-3.34E-06	1.24E-05	1.29E-05	2
275.36	-1.36E-06	-3.34E-06	1.23E-05	1.29E-05	2
276.4	-1.36E-06	-3.34E-06	1.23E-05	1.29E-05	2
277.33	-1.36E-06	-3.34E-06	1.23E-05	1.29E-05	2
278.31	-1.36E-06	-3.34E-06	1.23E-05	1.28E-05	2
279.31	-1.36E-06	-3.34E-06	1.23E-05	1.28E-05	2
280.31	-1.36E-06	-3.34E-06	1.23E-05	1.28E-05	2
281.26	-1.36E-06	-3.34E-06	1.23E-05	1.28E-05	2
282.23	-1.36E-06	-3.34E-06	1.23E-05	1.28E-05	2
283.22	-1.36E-06	-3.33E-06	1.23E-05	1.28E-05	2
284.16	-1.36E-06	-3.33E-06	1.23E-05	1.28E-05	2
284.47	-1.35E-06	-3.33E-06	1.23E-05	1.28E-05	2
284.39	-1.27E-06	-3.33E-06	1.24E-05	1.29E-05	2
284.46	-1.35E-06	-3.34E-06	1.23E-05	1.28E-05	2
284.52	-1.35E-06	-3.34E-06	1.23E-05	1.28E-05	2
297.22	8.40E-09	-1.60E-08	-2.48E-07	2.49E-07	3
298.13	5.15E-09	-7.01E-08	-7.42E-07	7.45E-07	3
298.42	-4.65E-08	-6.74E-08	-7.06E-07	7.11E-07	3
298.26	-1.12E-07	-7.88E-08	-7.03E-07	7.16E-07	3
296.15	-3.49E-08	1.44E-07	-7.01E-07	7.16E-07	3
296.27	-3.91E-08	1.45E-07	-6.97E-07	7.13E-07	4
296.58	-3.81E-08	1.45E-07	-6.97E-07	7.13E-07	4
296.55	-3.94E-08	1.44E-07	-6.97E-07	7.13E-07	4
295.69	-3.88E-08	1.44E-07	-6.98E-07	7.14E-07	4
294.63	-3.94E-08	1.44E-07	-6.98E-07	7.14E-07	4
293.57	-3.92E-08	1.43E-07	-6.99E-07	7.14E-07	4
293.11	-3.96E-08	1.42E-07	-6.99E-07	7.14E-07	4
291.98	-3.95E-08	1.41E-07	-6.99E-07	7.14E-07	4
290.84	-3.97E-08	1.41E-07	-6.99E-07	7.14E-07	4
